t_out,v_out,t_in,v_in
0.0,-0.016,0.0,-1.04
1e-07,-0.008,1e-07,-1.08
2e-07,-0.024,2e-07,-1.08
3e-07,-0.016,3e-07,-1.04
4e-07,-0.016,4e-07,-1.04
5e-07,-0.024,5e-07,-1.08
6e-07,-0.016,6e-07,-1.08
7e-07,-0.024,7e-07,-1.04
8e-07,-0.024,8e-07,-1.12
9e-07,-0.032,9e-07,-1.08
1e-06,-0.032,1e-06,-1.08
1.1e-06,-0.024,1.1e-06,-1.04
1.2e-06,-0.032,1.2e-06,-1.04
1.3e-06,-0.032,1.3e-06,-1.08
1.4e-06,-0.032,1.4e-06,-1.08
1.5e-06,-0.032,1.5e-06,-1.08
1.6e-06,-0.04,1.6e-06,-1.04
1.7e-06,-0.048,1.7e-06,-1.12
1.8e-06,-0.04,1.8e-06,-1.08
1.9e-06,-0.04,1.9e-06,-1.0
2e-06,-0.048,2e-06,-1.08
2.1e-06,-0.04,2.1e-06,-1.04
2.2e-06,-0.04,2.2e-06,-1.04
2.3e-06,-0.056,2.3e-06,-1.08
2.4e-06,-0.048,2.4e-06,-1.04
2.5e-06,-0.048,2.5e-06,-1.08
2.6e-06,-0.056,2.6e-06,-1.04
2.7e-06,-0.056,2.7e-06,-1.04
2.8e-06,-0.048,2.8e-06,-1.04
2.9e-06,-0.048,2.9e-06,-1.04
3e-06,-0.064,3e-06,-1.04
3.1e-06,-0.056,3.1e-06,-1.08
3.2e-06,-0.056,3.2e-06,-1.08
3.3e-06,-0.064,3.3e-06,-1.12
3.4e-06,-0.056,3.4e-06,-1.04
3.5e-06,-0.064,3.5e-06,-1.08
3.6e-06,-0.064,3.6e-06,-1.08
3.7e-06,-0.064,3.7e-06,-1.04
3.8e-06,-0.064,3.8e-06,-1.08
3.9e-06,-0.072,3.9e-06,-1.04
4e-06,-0.072,4e-06,-1.04
4.1e-06,-0.08,4.1e-06,-1.04
4.2e-06,-0.08,4.2e-06,-1.04
4.3e-06,-0.08,4.3e-06,-1.08
4.4e-06,-0.08,4.4e-06,-1.08
4.5e-06,-0.072,4.5e-06,-1.08
4.6e-06,-0.08,4.6e-06,-1.0
4.7e-06,-0.08,4.7e-06,-1.12
4.8e-06,-0.08,4.8e-06,-1.08
4.9e-06,-0.08,4.9e-06,-1.08
5e-06,-0.088,5e-06,-1.04
5.1e-06,-0.088,5.1e-06,-1.04
5.2e-06,-0.096,5.2e-06,-1.12
5.3e-06,-0.088,5.3e-06,-1.08
5.4e-06,-0.096,5.4e-06,-1.08
5.5e-06,-0.096,5.5e-06,-1.04
5.6e-06,-0.088,5.6e-06,-1.08
5.7e-06,-0.088,5.7e-06,-1.08
5.8e-06,-0.104,5.8e-06,-1.04
5.9e-06,-0.104,5.9e-06,-1.08
6e-06,-0.104,6e-06,-1.04
6.1e-06,-0.104,6.1e-06,-1.04
6.2e-06,-0.112,6.2e-06,-1.04
6.3e-06,-0.104,6.3e-06,-1.12
6.4e-06,-0.104,6.4e-06,-1.08
6.5e-06,-0.112,6.5e-06,-1.08
6.6e-06,-0.112,6.6e-06,-1.08
6.7e-06,-0.112,6.7e-06,-1.04
6.8e-06,-0.12,6.8e-06,-1.04
6.9e-06,-0.12,6.9e-06,-1.0
7e-06,-0.12,7e-06,-1.04
7.1e-06,-0.112,7.1e-06,-1.04
7.2e-06,-0.112,7.2e-06,-1.04
7.3e-06,-0.112,7.3e-06,-1.08
7.4e-06,-0.128,7.4e-06,-1.04
7.5e-06,-0.12,7.5e-06,-1.08
7.6e-06,-0.128,7.6e-06,-1.0
7.7e-06,-0.136,7.7e-06,-1.08
7.8e-06,-0.128,7.8e-06,-1.04
7.9e-06,-0.128,7.9e-06,-1.04
8e-06,-0.12,8e-06,-1.04
8.1e-06,-0.128,8.1e-06,-1.08
8.2e-06,-0.128,8.2e-06,-1.04
8.3e-06,-0.144,8.3e-06,-1.04
8.4e-06,-0.136,8.4e-06,-1.04
8.5e-06,-0.144,8.5e-06,-1.04
8.6e-06,-0.144,8.6e-06,-1.04
8.7e-06,-0.144,8.7e-06,-1.08
8.8e-06,-0.136,8.8e-06,-1.08
8.9e-06,-0.144,8.9e-06,-1.04
9e-06,-0.144,9e-06,-1.0
9.1e-06,-0.152,9.1e-06,-1.0
9.2e-06,-0.152,9.2e-06,-1.04
9.3e-06,-0.144,9.3e-06,-1.04
9.4e-06,-0.152,9.4e-06,-1.04
9.5e-06,-0.144,9.5e-06,-1.04
9.6e-06,-0.152,9.6e-06,-1.08
9.7e-06,-0.152,9.7e-06,-1.08
9.8e-06,-0.144,9.8e-06,-1.12
9.9e-06,-0.152,9.9e-06,-1.04
1e-05,-0.16,1e-05,-1.08
1.01e-05,-0.16,1.01e-05,-1.08
1.02e-05,-0.16,1.02e-05,-1.08
1.03e-05,-0.16,1.03e-05,-1.04
1.04e-05,-0.16,1.04e-05,-1.08
1.05e-05,-0.16,1.05e-05,-1.0
1.06e-05,-0.16,1.06e-05,-1.08
1.07e-05,-0.16,1.07e-05,-1.04
1.08e-05,-0.168,1.08e-05,-1.08
1.09e-05,-0.168,1.09e-05,-1.04
1.1e-05,-0.176,1.1e-05,-1.08
1.11e-05,-0.16,1.11e-05,-1.04
1.12e-05,-0.176,1.12e-05,-1.08
1.13e-05,-0.176,1.13e-05,-1.08
1.14e-05,-0.16,1.14e-05,-1.08
1.15e-05,-0.168,1.15e-05,-1.04
1.16e-05,-0.176,1.16e-05,-1.12
1.17e-05,-0.176,1.17e-05,-1.08
1.18e-05,-0.176,1.18e-05,-1.04
1.19e-05,-0.176,1.19e-05,-1.08
1.2e-05,-0.176,1.2e-05,-1.04
1.21e-05,-0.184,1.21e-05,0.96
1.22e-05,-0.192,1.22e-05,0.96
1.23e-05,-0.176,1.23e-05,0.96
1.24e-05,-0.176,1.24e-05,0.92
1.25e-05,-0.168,1.25e-05,0.92
1.26e-05,-0.168,1.26e-05,0.96
1.27e-05,-0.16,1.27e-05,0.92
