t_in,v_in,t_out,v_out
0,-0.12,0,0.0104
1.00E-08,-0.16,1.00E-08,0.0112
2.00E-08,-0.16,2.00E-08,0.0108
3.00E-08,-0.12,3.00E-08,0.0108
4.00E-08,-0.16,4.00E-08,0.01
5.00E-08,-0.16,5.00E-08,0.0108
6.00E-08,-0.16,6.00E-08,0.01
7.00E-08,-0.12,7.00E-08,0.0096
8.00E-08,-0.16,8.00E-08,0.01
9.00E-08,-0.2,9.00E-08,0.0112
1.00E-07,-0.2,1.00E-07,0.0104
1.10E-07,-0.2,1.10E-07,0.01
1.20E-07,-0.24,1.20E-07,0.01
1.30E-07,-0.24,1.30E-07,0.0092
1.40E-07,-0.24,1.40E-07,0.01
1.50E-07,-0.28,1.50E-07,0.01
1.60E-07,-0.24,1.60E-07,0.0096
1.70E-07,-0.28,1.70E-07,0.0092
1.80E-07,-0.24,1.80E-07,0.01
1.90E-07,-0.24,1.90E-07,0.0092
2.00E-07,-0.28,2.00E-07,0.0092
2.10E-07,-0.28,2.10E-07,0.0084
2.20E-07,-0.28,2.20E-07,0.0092
2.30E-07,-0.32,2.30E-07,0.0088
2.40E-07,-0.36,2.40E-07,0.0092
2.50E-07,-0.32,2.50E-07,0.0084
2.60E-07,-0.36,2.60E-07,0.01
2.70E-07,-0.36,2.70E-07,0.0084
2.80E-07,-0.36,2.80E-07,0.0084
2.90E-07,-0.4,2.90E-07,0.0088
3.00E-07,-0.4,3.00E-07,0.0088
3.10E-07,-0.36,3.10E-07,0.0084
3.20E-07,-0.36,3.20E-07,0.0084
3.30E-07,-0.36,3.30E-07,0.0088
3.40E-07,-0.4,3.40E-07,0.008
3.50E-07,-0.48,3.50E-07,0.0076
3.60E-07,-0.4,3.60E-07,0.0072
3.70E-07,-0.44,3.70E-07,0.0072
3.80E-07,-0.4,3.80E-07,0.0076
3.90E-07,-0.44,3.90E-07,0.008
4.00E-07,-0.44,4.00E-07,0.0076
4.10E-07,-0.48,4.10E-07,0.0072
4.20E-07,-0.48,4.20E-07,0.0076
4.30E-07,-0.48,4.30E-07,0.0076
4.40E-07,-0.48,4.40E-07,0.008
4.50E-07,-0.52,4.50E-07,0.0068
4.60E-07,-0.52,4.60E-07,0.0068
4.70E-07,-0.52,4.70E-07,0.0068
4.80E-07,-0.52,4.80E-07,0.0072
4.90E-07,-0.48,4.90E-07,0.0064
5.00E-07,-0.52,5.00E-07,0.0072
5.10E-07,-0.52,5.10E-07,0.0072
5.20E-07,-0.52,5.20E-07,0.0056
5.30E-07,-0.6,5.30E-07,0.006
5.40E-07,-0.56,5.40E-07,0.006
5.50E-07,-0.56,5.50E-07,0.0064
5.60E-07,-0.6,5.60E-07,0.0064
5.70E-07,-0.6,5.70E-07,0.0048
5.80E-07,-0.6,5.80E-07,0.0064
5.90E-07,-0.6,5.90E-07,0.0056
6.00E-07,-0.64,6.00E-07,0.0052
6.10E-07,-0.64,6.10E-07,0.0048
6.20E-07,-0.64,6.20E-07,0.0052
6.30E-07,-0.64,6.30E-07,0.0044
6.40E-07,-0.64,6.40E-07,0.0052
6.50E-07,-0.64,6.50E-07,0.0044
6.60E-07,-0.68,6.60E-07,0.0036
6.70E-07,-0.64,6.70E-07,0.0044
6.80E-07,-0.68,6.80E-07,0.0044
6.90E-07,-0.64,6.90E-07,0.0036
7.00E-07,-0.72,7.00E-07,0.0036
7.10E-07,-0.72,7.10E-07,0.0036
7.20E-07,-0.68,7.20E-07,0.002
7.30E-07,-0.72,7.30E-07,0.0032
7.40E-07,-0.76,7.40E-07,0.004
7.50E-07,-0.76,7.50E-07,0.0044
7.60E-07,-0.76,7.60E-07,0.004
7.70E-07,-0.76,7.70E-07,0.0036
7.80E-07,-0.76,7.80E-07,0.0024
7.90E-07,-0.8,7.90E-07,0.002
8.00E-07,-0.8,8.00E-07,0.0028
8.10E-07,-0.8,8.10E-07,0.0024
8.20E-07,-0.84,8.20E-07,0.0012
8.30E-07,-0.76,8.30E-07,0.002
8.40E-07,-0.8,8.40E-07,0.002
8.50E-07,-0.8,8.50E-07,0.0024
8.60E-07,-0.84,8.60E-07,0.0012
8.70E-07,-0.84,8.70E-07,0.0012
8.80E-07,-0.84,8.80E-07,0.0004
8.90E-07,-0.84,8.90E-07,0.0012
9.00E-07,-0.88,9.00E-07,0.0012
9.10E-07,-0.92,9.10E-07,0.0008
9.20E-07,-0.88,9.20E-07,0.0004
9.30E-07,-0.88,9.30E-07,0.0004
9.40E-07,-0.88,9.40E-07,-0.0004
9.50E-07,-0.96,9.50E-07,-0.0004
9.60E-07,-0.92,9.60E-07,-0.0008
9.70E-07,-0.92,9.70E-07,-0.0004
9.80E-07,-0.92,9.80E-07,-0.0012
9.90E-07,-0.92,9.90E-07,-0.0012
1.00E-06,-0.92,1.00E-06,-0.0008
1.01E-06,-0.96,1.01E-06,-0.0008
1.02E-06,-0.96,1.02E-06,-0.0016
1.03E-06,-0.96,1.03E-06,-0.0016
1.04E-06,-1,1.04E-06,-0.0012
1.05E-06,-0.92,1.05E-06,-0.0016
1.06E-06,-0.92,1.06E-06,-0.0012
1.07E-06,-0.92,1.07E-06,-0.0028
1.08E-06,-0.92,1.08E-06,-0.002
1.09E-06,-0.96,1.09E-06,-0.0024
1.10E-06,-0.92,1.10E-06,-0.0024
1.11E-06,-0.92,1.11E-06,-0.0028
1.12E-06,-0.88,1.12E-06,-0.0036
1.13E-06,-0.88,1.13E-06,-0.0032
1.14E-06,-0.88,1.14E-06,-0.004
1.15E-06,-0.84,1.15E-06,-0.0036
1.16E-06,-0.8,1.16E-06,-0.0036
1.17E-06,-0.84,1.17E-06,-0.0044
1.18E-06,-0.8,1.18E-06,-0.0036
1.19E-06,-0.84,1.19E-06,-0.004
1.20E-06,-0.8,1.20E-06,-0.0036
1.21E-06,-0.8,1.21E-06,-0.004
1.22E-06,-0.8,1.22E-06,-0.0044
1.23E-06,-0.8,1.23E-06,-0.0048
1.24E-06,-0.8,1.24E-06,-0.004
1.25E-06,-0.76,1.25E-06,-0.004
1.26E-06,-0.76,1.26E-06,-0.0056
1.27E-06,-0.72,1.27E-06,-0.0064
1.28E-06,-0.72,1.28E-06,-0.0056
1.29E-06,-0.72,1.29E-06,-0.004
1.30E-06,-0.72,1.30E-06,-0.0052
1.31E-06,-0.68,1.31E-06,-0.0056
1.32E-06,-0.68,1.32E-06,-0.0076
1.33E-06,-0.68,1.33E-06,-0.0068
1.34E-06,-0.68,1.34E-06,-0.0044
1.35E-06,-0.68,1.35E-06,-0.0056
1.36E-06,-0.72,1.36E-06,-0.0068
1.37E-06,-0.72,1.37E-06,-0.0076
1.38E-06,-0.68,1.38E-06,-0.006
1.39E-06,-0.64,1.39E-06,-0.0056
1.40E-06,-0.64,1.40E-06,-0.0064
1.41E-06,-0.64,1.41E-06,-0.0064
1.42E-06,-0.6,1.42E-06,-0.0076
1.43E-06,-0.6,1.43E-06,-0.006
1.44E-06,-0.64,1.44E-06,-0.0068
1.45E-06,-0.6,1.45E-06,-0.0072
1.46E-06,-0.6,1.46E-06,-0.008
1.47E-06,-0.6,1.47E-06,-0.0072
1.48E-06,-0.56,1.48E-06,-0.0076
1.49E-06,-0.56,1.49E-06,-0.008
1.50E-06,-0.52,1.50E-06,-0.0072
1.51E-06,-0.6,1.51E-06,-0.0076
1.52E-06,-0.6,1.52E-06,-0.0068
1.53E-06,-0.56,1.53E-06,-0.0068
1.54E-06,-0.52,1.54E-06,-0.0072
1.55E-06,-0.52,1.55E-06,-0.008
1.56E-06,-0.52,1.56E-06,-0.008
1.57E-06,-0.48,1.57E-06,-0.0084
1.58E-06,-0.52,1.58E-06,-0.0084
1.59E-06,-0.48,1.59E-06,-0.008
1.60E-06,-0.48,1.60E-06,-0.0088
1.61E-06,-0.48,1.61E-06,-0.008
1.62E-06,-0.48,1.62E-06,-0.0092
1.63E-06,-0.44,1.63E-06,-0.0084
1.64E-06,-0.48,1.64E-06,-0.0092
1.65E-06,-0.44,1.65E-06,-0.0088
1.66E-06,-0.44,1.66E-06,-0.0088
1.67E-06,-0.44,1.67E-06,-0.0084
1.68E-06,-0.44,1.68E-06,-0.0084
1.69E-06,-0.4,1.69E-06,-0.0092
1.70E-06,-0.44,1.70E-06,-0.0092
1.71E-06,-0.4,1.71E-06,-0.0096
1.72E-06,-0.4,1.72E-06,-0.0092
1.73E-06,-0.32,1.73E-06,-0.0092
1.74E-06,-0.36,1.74E-06,-0.0092
1.75E-06,-0.4,1.75E-06,-0.0096
1.76E-06,-0.36,1.76E-06,-0.0096
1.77E-06,-0.36,1.77E-06,-0.0104
1.78E-06,-0.32,1.78E-06,-0.0096
1.79E-06,-0.32,1.79E-06,-0.0096
1.80E-06,-0.32,1.80E-06,-0.0092
1.81E-06,-0.32,1.81E-06,-0.01
1.82E-06,-0.32,1.82E-06,-0.01
1.83E-06,-0.28,1.83E-06,-0.01
1.84E-06,-0.32,1.84E-06,-0.0092
1.85E-06,-0.28,1.85E-06,-0.0096
1.86E-06,-0.32,1.86E-06,-0.0096
1.87E-06,-0.28,1.87E-06,-0.01
1.88E-06,-0.24,1.88E-06,-0.0108
1.89E-06,-0.28,1.89E-06,-0.0104
1.90E-06,-0.2,1.90E-06,-0.01
1.91E-06,-0.24,1.91E-06,-0.0104
1.92E-06,-0.24,1.92E-06,-0.0108
1.93E-06,-0.2,1.93E-06,-0.0104
1.94E-06,-0.2,1.94E-06,-0.0104
1.95E-06,-0.2,1.95E-06,-0.0108
1.96E-06,-0.2,1.96E-06,-0.0104
1.97E-06,-0.16,1.97E-06,-0.0108
1.98E-06,-0.16,1.98E-06,-0.01
1.99E-06,-0.2,1.99E-06,-0.0104
2.00E-06,-0.16,2.00E-06,-0.0108
2.01E-06,-0.16,2.01E-06,-0.0104
2.02E-06,-0.12,2.02E-06,-0.01
2.03E-06,-0.08,2.03E-06,-0.0104
2.04E-06,-0.16,2.04E-06,-0.01
2.05E-06,-0.12,2.05E-06,-0.01
2.06E-06,-0.08,2.06E-06,-0.0104
2.07E-06,-0.12,2.07E-06,-0.0108
2.08E-06,-0.08,2.08E-06,-0.01
2.09E-06,-0.12,2.09E-06,-0.0108
2.10E-06,-0.08,2.10E-06,-0.0104
2.11E-06,-0.04,2.11E-06,-0.0108
2.12E-06,0,2.12E-06,-0.01
2.13E-06,-0.08,2.13E-06,-0.0104
2.14E-06,-0.04,2.14E-06,-0.0104
2.15E-06,-0.08,2.15E-06,-0.0096
2.16E-06,0,2.16E-06,-0.0104
2.17E-06,0.04,2.17E-06,-0.0104
2.18E-06,-0.04,2.18E-06,-0.0104
2.19E-06,0,2.19E-06,-0.01
2.20E-06,0.04,2.20E-06,-0.0104
2.21E-06,-0.04,2.21E-06,-0.0108
2.22E-06,0.04,2.22E-06,-0.0104
2.23E-06,0,2.23E-06,-0.0104
2.24E-06,0.04,2.24E-06,-0.01
2.25E-06,0.04,2.25E-06,-0.0116
2.26E-06,0.08,2.26E-06,-0.0108
2.27E-06,0.04,2.27E-06,-0.01
2.28E-06,0.04,2.28E-06,-0.01
2.29E-06,0.12,2.29E-06,-0.0104
2.30E-06,0.08,2.30E-06,-0.0104
2.31E-06,0.12,2.31E-06,-0.0096
2.32E-06,0.12,2.32E-06,-0.0104
2.33E-06,0.08,2.33E-06,-0.0104
2.34E-06,0.12,2.34E-06,-0.01
2.35E-06,0.12,2.35E-06,-0.0096
2.36E-06,0.12,2.36E-06,-0.0104
2.37E-06,0.08,2.37E-06,-0.0104
2.38E-06,0.12,2.38E-06,-0.0104
2.39E-06,0.12,2.39E-06,-0.0104
2.40E-06,0.16,2.40E-06,-0.01
2.41E-06,0.2,2.41E-06,-0.01
2.42E-06,0.2,2.42E-06,-0.0104
2.43E-06,0.16,2.43E-06,-0.01
2.44E-06,0.24,2.44E-06,-0.0096
2.45E-06,0.2,2.45E-06,-0.0092
2.46E-06,0.2,2.46E-06,-0.01
2.47E-06,0.24,2.47E-06,-0.0104
2.48E-06,0.24,2.48E-06,-0.01
2.49E-06,0.24,2.49E-06,-0.0104
2.50E-06,0.24,2.50E-06,-0.0096
2.51E-06,0.24,2.51E-06,-0.0104
2.52E-06,0.28,2.52E-06,-0.0088
2.53E-06,0.28,2.53E-06,-0.0092
2.54E-06,0.28,2.54E-06,-0.0092
2.55E-06,0.28,2.55E-06,-0.0092
2.56E-06,0.28,2.56E-06,-0.0096
2.57E-06,0.32,2.57E-06,-0.0092
2.58E-06,0.32,2.58E-06,-0.01
2.59E-06,0.32,2.59E-06,-0.0088
2.60E-06,0.32,2.60E-06,-0.0092
2.61E-06,0.36,2.61E-06,-0.0088
2.62E-06,0.36,2.62E-06,-0.0092
2.63E-06,0.36,2.63E-06,-0.0088
2.64E-06,0.44,2.64E-06,-0.0092
2.65E-06,0.4,2.65E-06,-0.008
2.66E-06,0.36,2.66E-06,-0.0088
2.67E-06,0.4,2.67E-06,-0.0076
2.68E-06,0.4,2.68E-06,-0.0088
2.69E-06,0.4,2.69E-06,-0.0076
2.70E-06,0.44,2.70E-06,-0.0072
2.71E-06,0.44,2.71E-06,-0.0096
2.72E-06,0.44,2.72E-06,-0.0084
2.73E-06,0.44,2.73E-06,-0.0088
2.74E-06,0.44,2.74E-06,-0.0092
2.75E-06,0.44,2.75E-06,-0.0084
2.76E-06,0.52,2.76E-06,-0.008
2.77E-06,0.44,2.77E-06,-0.0084
2.78E-06,0.48,2.78E-06,-0.0076
2.79E-06,0.48,2.79E-06,-0.0068
2.80E-06,0.48,2.80E-06,-0.0068
2.81E-06,0.56,2.81E-06,-0.008
2.82E-06,0.56,2.82E-06,-0.0072
2.83E-06,0.48,2.83E-06,-0.0072
2.84E-06,0.48,2.84E-06,-0.0072
2.85E-06,0.52,2.85E-06,-0.0072
2.86E-06,0.56,2.86E-06,-0.0076
2.87E-06,0.56,2.87E-06,-0.0068
2.88E-06,0.56,2.88E-06,-0.0068
2.89E-06,0.56,2.89E-06,-0.0068
2.90E-06,0.56,2.90E-06,-0.0064
2.91E-06,0.6,2.91E-06,-0.006
2.92E-06,0.6,2.92E-06,-0.0064
2.93E-06,0.6,2.93E-06,-0.0056
2.94E-06,0.6,2.94E-06,-0.0056
2.95E-06,0.6,2.95E-06,-0.0056
2.96E-06,0.64,2.96E-06,-0.0052
2.97E-06,0.68,2.97E-06,-0.0064
2.98E-06,0.6,2.98E-06,-0.006
2.99E-06,0.64,2.99E-06,-0.0056
3.00E-06,0.64,3.00E-06,-0.006
3.01E-06,0.68,3.01E-06,-0.0052
3.02E-06,0.68,3.02E-06,-0.0048
3.03E-06,0.72,3.03E-06,-0.0052
3.04E-06,0.72,3.04E-06,-0.0056
3.05E-06,0.72,3.05E-06,-0.0056
3.06E-06,0.68,3.06E-06,-0.0044
3.07E-06,0.68,3.07E-06,-0.0048
3.08E-06,0.68,3.08E-06,-0.0048
3.09E-06,0.72,3.09E-06,-0.0044
3.10E-06,0.76,3.10E-06,-0.0048
3.11E-06,0.76,3.11E-06,-0.004
3.12E-06,0.76,3.12E-06,-0.004
3.13E-06,0.8,3.13E-06,-0.0036
3.14E-06,0.76,3.14E-06,-0.0036
3.15E-06,0.8,3.15E-06,-0.004
3.16E-06,0.76,3.16E-06,-0.0032
3.17E-06,0.76,3.17E-06,-0.0028
3.18E-06,0.8,3.18E-06,-0.0028
3.19E-06,0.76,3.19E-06,-0.0032
3.20E-06,0.84,3.20E-06,-0.0036
3.21E-06,0.84,3.21E-06,-0.0028
3.22E-06,0.88,3.22E-06,-0.0032
3.23E-06,0.84,3.23E-06,-0.0024
3.24E-06,0.88,3.24E-06,-0.0028
3.25E-06,0.88,3.25E-06,-0.0016
3.26E-06,0.88,3.26E-06,-0.002
3.27E-06,0.88,3.27E-06,-0.0012
3.28E-06,0.92,3.28E-06,-0.0008
3.29E-06,0.92,3.29E-06,-0.0008
3.30E-06,0.92,3.30E-06,-0.0004
3.31E-06,0.88,3.31E-06,-0.0008
3.32E-06,0.88,3.32E-06,-0.0008
3.33E-06,0.96,3.33E-06,-0.0008
3.34E-06,0.92,3.34E-06,-0.0016
3.35E-06,0.92,3.35E-06,0
3.36E-06,1,3.36E-06,-0.0004
3.37E-06,0.96,3.37E-06,0.0008
3.38E-06,1,3.38E-06,-0.0016
3.39E-06,1.04,3.39E-06,-0.0016
3.40E-06,1,3.40E-06,-0.0012
3.41E-06,1,3.41E-06,-0.0004
3.42E-06,1.04,3.42E-06,0.0008
3.43E-06,1.04,3.43E-06,0.0016
3.44E-06,1,3.44E-06,0.0008
3.45E-06,1,3.45E-06,0.0008
3.46E-06,1.04,3.46E-06,-0.0004
3.47E-06,1.04,3.47E-06,0.0004
3.48E-06,1.04,3.48E-06,0.0004
3.49E-06,1.04,3.49E-06,0.0012
3.50E-06,1.04,3.50E-06,0.0024
3.51E-06,1.08,3.51E-06,0.0024
3.52E-06,1.08,3.52E-06,0.0024
3.53E-06,1.12,3.53E-06,0.0024
3.54E-06,1.08,3.54E-06,0.0028
3.55E-06,1.04,3.55E-06,0.0036
3.56E-06,1.08,3.56E-06,0.0036
3.57E-06,1.04,3.57E-06,0.0028
3.58E-06,1.12,3.58E-06,0.004
3.59E-06,1,3.59E-06,0.0032
3.60E-06,0.96,3.60E-06,0.0032
3.61E-06,1.04,3.61E-06,0.004
3.62E-06,1,3.62E-06,0.0036
3.63E-06,1,3.63E-06,0.0048
3.64E-06,1,3.64E-06,0.0044
3.65E-06,0.92,3.65E-06,0.0052
3.66E-06,1,3.66E-06,0.0048
3.67E-06,0.96,3.67E-06,0.0044
3.68E-06,0.92,3.68E-06,0.0052
3.69E-06,0.96,3.69E-06,0.0052
3.70E-06,0.96,3.70E-06,0.0048
3.71E-06,0.92,3.71E-06,0.0052
3.72E-06,0.92,3.72E-06,0.0056
3.73E-06,0.88,3.73E-06,0.0064
3.74E-06,0.96,3.74E-06,0.006
3.75E-06,0.92,3.75E-06,0.006
