t1,v1,t2,v2
0.000438,-1.04,0.000438,-0.96
0.00044,1,0.00044,-0.96
0.000442,0.96,0.000442,-0.92
0.000444,0.96,0.000444,-0.84
0.000446,0.96,0.000446,-0.8
0.000448,1,0.000448,-0.72
0.00045,1,0.00045,-0.68
0.000452,1,0.000452,-0.6
0.000454,1,0.000454,-0.56
0.000456,1,0.000456,-0.52
0.000458,1,0.000458,-0.44
0.00046,1,0.00046,-0.44
0.000462,1,0.000462,-0.4
0.000464,1,0.000464,-0.32
0.000466,1,0.000466,-0.28
0.000468,0.96,0.000468,-0.24
0.00047,1,0.00047,-0.24
0.000472,1,0.000472,-0.2
0.000474,1,0.000474,-0.12
0.000476,1,0.000476,-0.12
0.000478,1,0.000478,-0.08
0.00048,1,0.00048,-0.04
0.000482,1,0.000482,0
0.000484,1,0.000484,0
0.000486,1,0.000486,0.04
0.000488,1,0.000488,0.08
0.00049,1,0.00049,0.08
0.000492,1,0.000492,0.12
0.000494,1,0.000494,0.16
0.000496,1,0.000496,0.2
0.000498,1,0.000498,0.2
0.0005,1,0.0005,0.24
0.000502,1,0.000502,0.28
0.000504,0.96,0.000504,0.32
0.000506,1,0.000506,0.32
0.000508,1,0.000508,0.36
0.00051,1,0.00051,0.36
0.000512,1,0.000512,0.36
0.000514,1,0.000514,0.4
0.000516,1,0.000516,0.4
0.000518,1,0.000518,0.44
0.00052,1,0.00052,0.44
0.000522,1,0.000522,0.48
0.000524,1,0.000524,0.48
0.000526,1,0.000526,0.48
0.000528,1,0.000528,0.52
0.00053,1,0.00053,0.52
0.000532,1,0.000532,0.56
0.000534,1,0.000534,0.56
0.000536,1,0.000536,0.6
0.000538,1,0.000538,0.6
0.00054,1,0.00054,0.6
0.000542,1,0.000542,0.6
0.000544,1,0.000544,0.6
0.000546,1,0.000546,0.64
0.000548,1,0.000548,0.64
0.00055,1,0.00055,0.64
0.000552,1,0.000552,0.68
0.000554,1,0.000554,0.68
0.000556,1,0.000556,0.68
0.000558,1,0.000558,0.72
0.00056,1,0.00056,0.72
0.000562,1,0.000562,0.72
0.000564,1,0.000564,0.72
0.000566,1,0.000566,0.76
0.000568,1,0.000568,0.76
0.00057,1,0.00057,0.8
0.000572,1,0.000572,0.76
0.000574,1,0.000574,0.8
0.000576,1,0.000576,0.8
0.000578,1,0.000578,0.76
0.00058,1,0.00058,0.8
0.000582,0.96,0.000582,0.8
0.000584,1,0.000584,0.84
0.000586,1,0.000586,0.84
0.000588,1,0.000588,0.84
0.00059,1,0.00059,0.84
0.000592,1,0.000592,0.84
0.000594,1,0.000594,0.84
0.000596,1,0.000596,0.88
0.000598,1,0.000598,0.88
0.0006,1,0.0006,0.88
0.000602,1,0.000602,0.88
0.000604,1,0.000604,0.88
0.000606,1,0.000606,0.88
0.000608,1,0.000608,0.88
0.00061,1,0.00061,0.88
0.000612,1,0.000612,0.88
0.000614,1,0.000614,0.88
0.000616,1,0.000616,0.92
0.000618,1,0.000618,0.92
0.00062,1,0.00062,0.92
0.000622,1,0.000622,0.92
0.000624,1,0.000624,0.92
0.000626,1,0.000626,0.92
0.000628,1,0.000628,0.96
0.00063,1,0.00063,0.92
0.000632,1,0.000632,0.96
0.000634,1,0.000634,0.92
0.000636,1,0.000636,0.96
0.000638,1,0.000638,0.96
0.00064,1,0.00064,0.92
0.000642,0.96,0.000642,0.96
0.000644,1,0.000644,0.96
0.000646,1,0.000646,0.96
0.000648,1,0.000648,0.96
0.00065,1,0.00065,0.96
0.000652,1,0.000652,0.96
0.000654,1,0.000654,0.96
0.000656,1,0.000656,0.96
0.000658,1,0.000658,0.96
0.00066,1,0.00066,0.96
0.000662,1,0.000662,0.96
0.000664,1,0.000664,0.96
0.000666,1,0.000666,0.96
0.000668,0.96,0.000668,1
0.00067,0.96,0.00067,0.96
0.000672,1,0.000672,1
0.000674,0.96,0.000674,0.96
0.000676,1,0.000676,0.96
0.000678,1,0.000678,0.96
0.00068,1,0.00068,0.96
0.000682,1,0.000682,1
0.000684,1,0.000684,1
0.000686,1,0.000686,0.96
0.000688,1,0.000688,1
0.00069,1,0.00069,1
0.000692,0.96,0.000692,1
0.000694,1,0.000694,0.96
0.000696,1,0.000696,1
0.000698,1,0.000698,1
0.0007,1,0.0007,1
0.000702,1,0.000702,1
0.000704,0.96,0.000704,1
0.000706,1,0.000706,1
0.000708,1,0.000708,1
0.00071,1,0.00071,1
0.000712,1,0.000712,1
0.000714,1,0.000714,1
0.000716,1,0.000716,1
0.000718,1,0.000718,1
0.00072,1,0.00072,1
0.000722,1,0.000722,1
0.000724,0.96,0.000724,1
0.000726,1,0.000726,1.04
0.000728,1,0.000728,1
0.00073,1,0.00073,1
0.000732,1,0.000732,1
