Frequency (Hz) - Plot 0,Amplitude - Plot 0
0,0.279022
2000,0.417208
4000,0.432973
6000,0.431445
8000,0.428858
10000,0.425225
12000,0.420986
14000,0.415338
16000,0.412084
18000,0.40799
20000,0.402626
22000,0.396607
24000,0.390002
26000,0.383493
28000,0.375876
30000,0.367333
32000,0.359118
34000,0.352087
36000,0.342285
38000,0.331809
40000,0.323833
42000,0.313346
44000,0.303308
46000,0.293772
48000,0.284827
50000,0.27413
52000,0.260716
54000,0.249703
56000,0.239451
58000,0.227789
60000,0.213806
62000,0.201987
64000,0.193747
66000,0.181979
68000,0.169256
70000,0.158607
72000,0.146891
74000,0.134616
76000,0.120986
78000,0.108901
80000,0.0985642
82000,0.0896552
84000,0.0791355
86000,0.068133
88000,0.0577597
90000,0.04677
92000,0.0362112
94000,0.0266259
96000,0.0170087
98000,0.00921406
100000,0.00423888
102000,0.00659153
104000,0.0155218
106000,0.0252532
108000,0.0338981
110000,0.0398844
112000,0.0439946
114000,0.0502407
116000,0.0563241
118000,0.0618854
120000,0.0676684
122000,0.0702428
124000,0.0733089
126000,0.078161
128000,0.0817706
130000,0.0841267
132000,0.0867435
134000,0.0880873
136000,0.088563
138000,0.0883723
140000,0.0897988
142000,0.0912082
144000,0.0931828
146000,0.095043
148000,0.09291
150000,0.0926779
152000,0.092612
154000,0.0889591
156000,0.087258
158000,0.0830389
160000,0.0786319
162000,0.0769062
164000,0.0737687
166000,0.0713379
168000,0.0693582
170000,0.0648015
172000,0.0613291
174000,0.0575083
176000,0.0526091
178000,0.0495317
180000,0.0457741
182000,0.0417902
184000,0.0366158
186000,0.0333523
188000,0.028853
190000,0.0222191
192000,0.019132
194000,0.0161916
196000,0.010463
198000,0.00496906
200000,0.00188131
202000,0.0050035
204000,0.00842382
206000,0.0115645
208000,0.0153442
210000,0.0204957
212000,0.0237453
214000,0.0251442
216000,0.0293698
218000,0.0342969
220000,0.0371352
222000,0.038423
224000,0.0402641
226000,0.0430467
228000,0.0462981
230000,0.0490621
232000,0.049369
234000,0.0507159
236000,0.0520822
238000,0.0534459
240000,0.0537076
242000,0.0540002
244000,0.0538603
246000,0.0545129
248000,0.0559771
250000,0.0547442
252000,0.0560924
254000,0.0561782
256000,0.0529846
258000,0.0509837
260000,0.0498688
262000,0.0493927
264000,0.0483348
266000,0.0453285
268000,0.0418031
270000,0.0388132
272000,0.0376515
274000,0.0366401
276000,0.0345419
278000,0.0324083
280000,0.0301694
282000,0.0274618
284000,0.0239242
286000,0.0209326
288000,0.0174349
290000,0.0139137
292000,0.0108156
294000,0.00911014
296000,0.00692299
298000,0.00442505
300000,0.00124865
302000,0.00269631
304000,0.00499209
306000,0.00846476
308000,0.0111914
310000,0.0132348
312000,0.016726
314000,0.0195827
316000,0.0212083
318000,0.0227872
320000,0.0258321
322000,0.0284094
324000,0.0297124
326000,0.0312378
328000,0.0321605
330000,0.0338453
332000,0.034492
334000,0.0339924
336000,0.0334769
338000,0.0377124
340000,0.0408767
342000,0.0401706
344000,0.0407198
346000,0.0395382
348000,0.0384756
350000,0.0399987
352000,0.0419596
354000,0.0409632
356000,0.0382858
358000,0.0359739
360000,0.0359023
362000,0.0365716
364000,0.0349901
366000,0.032913
368000,0.0312136
370000,0.0309681
372000,0.029057
374000,0.0246492
376000,0.0220969
378000,0.0222007
380000,0.0211084
382000,0.0196414
384000,0.017985
386000,0.0156416
388000,0.0124151
390000,0.0109258
392000,0.00884022
394000,0.0060948
396000,0.00522172
398000,0.00495622
400000,0.002966
402000,0.0010351
404000,0.00227738
406000,0.00585875
408000,0.00880929
410000,0.00945579
412000,0.0112501
414000,0.0147304
416000,0.0172096
418000,0.0186029
420000,0.0196206
422000,0.0212418
424000,0.022501
426000,0.0236721
428000,0.0248453
430000,0.0260834
432000,0.0280888
434000,0.0291824
436000,0.0296296
438000,0.0301855
440000,0.0301225
442000,0.0298285
444000,0.0306708
446000,0.0305564
448000,0.0293518
450000,0.0292733
452000,0.0325666
454000,0.0342375
456000,0.0315622
458000,0.0324697
460000,0.0313793
462000,0.028838
464000,0.027515
466000,0.0253343
468000,0.023566
470000,0.0237064
472000,0.0213567
474000,0.0204661
476000,0.0209776
478000,0.018617
480000,0.0171029
482000,0.0147409
484000,0.0134749
486000,0.0115249
488000,0.00955317
490000,0.00875408
492000,0.00789363
494000,0.00604765
496000,0.00187084
498000,0.000632039
500000,0.00160781
502000,0.00315782
504000,0.00608088
506000,0.00782336
508000,0.00776904
510000,0.00881545
512000,0.00898686
514000,0.00956758
516000,0.012428
518000,0.0142374
520000,0.0158581
522000,0.0169137
524000,0.0178556
526000,0.0195595
528000,0.0205741
530000,0.0209833
532000,0.020937
534000,0.0218082
536000,0.0240039
538000,0.0253459
540000,0.0259969
542000,0.0266836
544000,0.0256678
546000,0.0253798
548000,0.0250273
550000,0.0247429
552000,0.0254224
554000,0.0279295
556000,0.029318
558000,0.0269054
560000,0.0240912
562000,0.0220915
564000,0.0220212
566000,0.0222493
568000,0.0204499
570000,0.0179503
572000,0.0176379
574000,0.0169794
576000,0.0161479
578000,0.0150644
580000,0.0132025
582000,0.0118386
584000,0.0110848
586000,0.0108532
588000,0.00971992
590000,0.00852886
592000,0.00533879
594000,0.00526572
596000,0.00585961
598000,0.00309219
600000,0.000172787
602000,0.00128372
604000,0.00249942
606000,0.00398647
608000,0.00595178
610000,0.00763584
612000,0.00883952
614000,0.0103881
616000,0.0125189
618000,0.0146084
620000,0.0160657
622000,0.0169481
624000,0.01724
626000,0.0156642
628000,0.0157895
630000,0.0195539
632000,0.0216606
634000,0.0218953
636000,0.0209991
638000,0.0203236
640000,0.0196485
642000,0.0182385
644000,0.0193475
646000,0.0214868
648000,0.0228967
650000,0.0235019
652000,0.0225535
654000,0.0230154
656000,0.024236
658000,0.0228678
660000,0.0205162
662000,0.0198537
664000,0.0191324
666000,0.0185879
668000,0.0190337
670000,0.0187634
672000,0.0160938
674000,0.0138937
676000,0.0154246
678000,0.0159068
680000,0.013589
682000,0.0115274
684000,0.00892693
686000,0.00548629
688000,0.00516534
690000,0.0061043
692000,0.00456135
694000,0.00487693
696000,0.00402296
698000,0.00187459
700000,0.000917036
702000,0.001896
704000,0.00523384
706000,0.00543949
708000,0.0051153
710000,0.00494315
712000,0.00608706
714000,0.00805365
716000,0.0105488
718000,0.0122192
720000,0.0112324
722000,0.0112982
724000,0.0131864
726000,0.0146541
728000,0.0150486
730000,0.0143554
732000,0.0157642
734000,0.0171274
736000,0.0187862
738000,0.0189874
740000,0.01901
742000,0.0189732
744000,0.0188499
746000,0.0186686
748000,0.0176984
750000,0.0173434
752000,0.0160053
754000,0.0150928
756000,0.0149195
758000,0.0158634
760000,0.0186442
762000,0.0185473
764000,0.0157303
766000,0.0151887
768000,0.0149287
770000,0.0152907
772000,0.0156316
774000,0.0155889
776000,0.0137421
778000,0.0121837
780000,0.00993078
782000,0.00868067
784000,0.00928044
786000,0.00933671
788000,0.00726326
790000,0.00536129
792000,0.00723501
794000,0.0067054
796000,0.00372703
798000,0.000890914
800000,0.00111171
802000,0.0017279
804000,0.00337362
806000,0.00223577
808000,0.00269513
810000,0.00521068
812000,0.0082056
814000,0.0111535
816000,0.0104496
818000,0.00885386
820000,0.0101519
822000,0.0103235
824000,0.00887757
826000,0.0106619
828000,0.0124472
830000,0.0127824
832000,0.0125592
834000,0.0132501
836000,0.014927
838000,0.015755
840000,0.0165176
842000,0.0165747
844000,0.0159159
846000,0.0152301
848000,0.0178158
850000,0.0197664
852000,0.0181816
854000,0.0178044
856000,0.0177316
858000,0.0155577
860000,0.0161181
862000,0.016912
864000,0.0166214
866000,0.0156796
868000,0.0141171
870000,0.0133554
872000,0.0122099
874000,0.0119264
876000,0.0105614
878000,0.00981415
880000,0.0106754
882000,0.0101011
884000,0.00884834
886000,0.00743618
888000,0.00716168
890000,0.00610306
892000,0.00599058
894000,0.00477925
896000,0.00324119
898000,0.00298282
900000,0.003102
902000,0.00284263
904000,0.00170393
906000,0.00205406
908000,0.00380628
910000,0.00392482
912000,0.00406834
914000,0.00702437
916000,0.00829804
918000,0.00714423
920000,0.00788581
922000,0.0100531
924000,0.0111902
926000,0.0103874
928000,0.0115984
930000,0.0128609
932000,0.0134758
934000,0.0135009
936000,0.0144115
938000,0.0154898
940000,0.0141017
942000,0.0145428
944000,0.0153387
946000,0.015655
948000,0.0168752
950000,0.0147902
952000,0.012816
954000,0.0132416
956000,0.0138817
958000,0.0148475
960000,0.0157033
962000,0.015086
964000,0.0135104
966000,0.0123263
968000,0.0127627
970000,0.0140109
972000,0.0129927
974000,0.0104448
976000,0.00845143
978000,0.00759527
980000,0.00695893
982000,0.00676917
984000,0.00784359
986000,0.00825901
988000,0.00654686
990000,0.00504844
992000,0.00384898
