v_in,amplitude
0,0.00771108
100,0.0054701
200,8.24E-05
300,0.0542061
400,0.10856
500,0.0543215
600,4.94E-05
700,0.000134606
800,0.000266983
900,0.000179369
1000,1.82E-05
1100,0.0181158
1200,0.0361954
1300,0.0180169
1400,9.05E-05
1500,8.53E-05
1600,0.000210427
1700,3.81E-05
1800,8.98E-05
1900,0.0108909
2000,0.0217795
2100,0.0109325
2200,6.98E-05
2300,0.000170374
2400,0.000314623
2500,0.000187537
2600,5.19E-05
2700,0.00775607
2800,0.0155617
2900,0.0077997
3000,6.63E-05
3100,0.00017909
3200,0.000381299
3300,0.000203526
3400,1.41E-06
3500,0.00598832
3600,0.012022
3700,0.00606624
3800,0.000103731
3900,0.000189636
4000,0.000310651
