t_in,v_in,t_out,v_out
0,-1,0,-0.04
2e-06,-1,2e-06,-0.04
4e-06,-0.96,4e-06,-0.02
6e-06,-0.96,6e-06,-0.02
8e-06,-1,8e-06,-0.04
1e-05,-0.96,1e-05,-0.04
1.2e-05,-1,1.2e-05,-0.04
1.4e-05,-0.96,1.4e-05,-0.04
1.6e-05,-0.96,1.6e-05,-0.04
1.8e-05,-0.96,1.8e-05,-0.04
2e-05,-0.96,2e-05,-0.02
2.2e-05,-0.96,2.2e-05,-0.04
2.4e-05,-1,2.4e-05,-0.02
2.6e-05,-0.96,2.6e-05,-0.04
2.8e-05,-0.96,2.8e-05,-0.02
3e-05,-0.96,3e-05,-0.04
3.2e-05,-0.96,3.2e-05,-0.02
3.4e-05,-0.96,3.4e-05,-0.02
3.6e-05,-1,3.6e-05,-0.04
3.8e-05,-0.96,3.8e-05,-0.04
4e-05,-0.96,4e-05,-0.04
4.2e-05,-0.96,4.2e-05,-0.04
4.4e-05,-0.96,4.4e-05,-0.04
4.6e-05,-0.96,4.6e-05,-0.04
4.8e-05,-0.96,4.8e-05,-0.02
5e-05,-1,5e-05,-0.04
5.2e-05,-1,5.2e-05,-0.04
5.4e-05,-1,5.4e-05,-0.06
5.6e-05,-1,5.6e-05,-0.04
5.8e-05,-0.96,5.8e-05,-0.02
6e-05,-1,6e-05,-0.02
6.2e-05,-1,6.2e-05,-0.06
6.4e-05,-0.96,6.4e-05,-0.04
6.6e-05,-1,6.6e-05,-0.04
6.8e-05,-0.96,6.8e-05,-0.04
7e-05,-0.96,7e-05,-0.02
7.2e-05,-0.96,7.2e-05,-0.04
7.4e-05,-0.96,7.4e-05,-0.02
7.6e-05,-1,7.6e-05,-0.04
7.8e-05,-0.96,7.8e-05,-0.02
8e-05,-1,8e-05,-0.04
8.2e-05,-0.96,8.2e-05,-0.02
8.4e-05,-0.96,8.4e-05,-0.02
8.6e-05,-0.96,8.6e-05,-0.04
8.8e-05,-0.96,8.8e-05,-0.02
9e-05,-0.96,9e-05,-0.04
9.2e-05,-0.96,9.2e-05,-0.02
9.4e-05,-0.96,9.4e-05,-0.02
9.6e-05,-0.96,9.6e-05,-0.02
9.8e-05,-0.96,9.8e-05,-0.04
0.0001,-1,0.0001,-0.04
0.000102,-1,0.000102,-0.04
0.000104,-1,0.000104,-0.04
0.000106,-1,0.000106,-0.02
0.000108,-1,0.000108,-0.02
0.00011,-1,0.00011,-0.04
0.000112,-0.96,0.000112,-0.04
0.000114,-0.96,0.000114,-0.02
0.000116,-0.96,0.000116,-0.04
0.000118,-0.96,0.000118,-0.02
0.00012,-0.96,0.00012,-0.04
0.000122,-1,0.000122,-0.02
0.000124,-1,0.000124,-0.04
0.000126,-1,0.000126,-0.04
0.000128,-0.96,0.000128,-0.02
0.00013,-0.96,0.00013,-0.04
0.000132,-1,0.000132,-0.02
0.000134,-0.96,0.000134,-0.02
0.000136,-0.96,0.000136,-0.02
0.000138,-1,0.000138,-0.02
0.00014,-1,0.00014,-0.04
0.000142,-0.96,0.000142,-0.02
0.000144,-0.96,0.000144,-0.02
0.000146,-1,0.000146,-0.04
0.000148,-1,0.000148,-0.02
0.00015,-0.96,0.00015,-0.04
0.000152,-0.96,0.000152,-0.04
0.000154,-1,0.000154,-0.04
0.000156,-0.96,0.000156,-0.04
0.000158,-0.96,0.000158,-0.04
0.00016,-0.96,0.00016,-0.04
0.000162,-0.96,0.000162,-0.04
0.000164,-1,0.000164,-0.02
0.000166,-0.96,0.000166,-0.02
0.000168,-1,0.000168,-0.04
0.00017,-0.96,0.00017,-0.02
0.000172,-0.96,0.000172,-0.04
0.000174,-0.96,0.000174,-0.04
0.000176,-1,0.000176,-0.04
0.000178,-0.96,0.000178,-0.04
0.00018,-1,0.00018,-0.02
0.000182,-0.96,0.000182,-0.02
0.000184,-0.96,0.000184,-0.04
0.000186,-0.96,0.000186,-0.04
0.000188,-1,0.000188,-0.02
