t_in,v_in,t_out,v_out
6.25E-05,1.04,6.25E-05,0.4
6.26E-05,1.08,6.26E-05,1.42
6.27E-05,1.04,6.27E-05,1.68
6.28E-05,1.08,6.28E-05,1.78
6.29E-05,1.08,6.29E-05,1.78
6.30E-05,1.04,6.30E-05,1.78
6.31E-05,1.04,6.31E-05,1.8
6.32E-05,1.04,6.32E-05,1.78
6.33E-05,1.12,6.33E-05,1.74
6.34E-05,1.12,6.34E-05,1.78
6.35E-05,1.04,6.35E-05,1.74
6.36E-05,1.08,6.36E-05,1.74
6.37E-05,1.04,6.37E-05,1.74
6.38E-05,1.08,6.38E-05,1.76
6.39E-05,1.04,6.39E-05,1.7
6.40E-05,1.04,6.40E-05,1.72
6.41E-05,1.04,6.41E-05,1.7
6.42E-05,1.08,6.42E-05,1.68
6.43E-05,1.04,6.43E-05,1.7
6.44E-05,1.08,6.44E-05,1.66
6.45E-05,1.08,6.45E-05,1.66
6.46E-05,1.04,6.46E-05,1.68
6.47E-05,1.04,6.47E-05,1.68
6.48E-05,1.12,6.48E-05,1.66
6.49E-05,1.04,6.49E-05,1.66
6.50E-05,1.04,6.50E-05,1.62
6.51E-05,1.12,6.51E-05,1.6
6.52E-05,1.08,6.52E-05,1.62
6.53E-05,1.04,6.53E-05,1.6
6.54E-05,1.08,6.54E-05,1.62
6.55E-05,1.08,6.55E-05,1.58
6.56E-05,1.08,6.56E-05,1.6
6.57E-05,1.04,6.57E-05,1.58
6.58E-05,1.04,6.58E-05,1.56
6.59E-05,1.04,6.59E-05,1.56
6.60E-05,1.12,6.60E-05,1.54
6.61E-05,1,6.61E-05,1.56
6.62E-05,1.08,6.62E-05,1.54
6.63E-05,1.08,6.63E-05,1.56
6.64E-05,1.04,6.64E-05,1.52
6.65E-05,1.08,6.65E-05,1.5
6.66E-05,1.04,6.66E-05,1.5
6.67E-05,1.08,6.67E-05,1.52
6.68E-05,1.04,6.68E-05,1.5
6.69E-05,1.04,6.69E-05,1.5
6.70E-05,1.04,6.70E-05,1.46
6.71E-05,1.08,6.71E-05,1.48
6.72E-05,1.04,6.72E-05,1.48
6.73E-05,1.08,6.73E-05,1.44
6.74E-05,1,6.74E-05,1.46
6.75E-05,1.04,6.75E-05,1.46
6.76E-05,1.12,6.76E-05,1.42
6.77E-05,1.08,6.77E-05,1.44
6.78E-05,1.08,6.78E-05,1.44
6.79E-05,1.12,6.79E-05,1.4
6.80E-05,1.08,6.80E-05,1.4
6.81E-05,1.08,6.81E-05,1.4
6.82E-05,1.08,6.82E-05,1.4
6.83E-05,1.04,6.83E-05,1.4
6.84E-05,1.04,6.84E-05,1.38
6.85E-05,1.08,6.85E-05,1.36
6.86E-05,1.08,6.86E-05,1.38
6.87E-05,1.08,6.87E-05,1.34
6.88E-05,1.08,6.88E-05,1.34
6.89E-05,1.04,6.89E-05,1.34
6.90E-05,1.08,6.90E-05,1.36
6.91E-05,1.08,6.91E-05,1.34
6.92E-05,1.12,6.92E-05,1.32
6.93E-05,1.04,6.93E-05,1.3
6.94E-05,1.04,6.94E-05,1.32
6.95E-05,1.08,6.95E-05,1.32
6.96E-05,1.08,6.96E-05,1.3
6.97E-05,1.04,6.97E-05,1.32
6.98E-05,1.08,6.98E-05,1.32
6.99E-05,1.08,6.99E-05,1.3
7.00E-05,1.08,7.00E-05,1.3
7.01E-05,1.04,7.01E-05,1.28
7.02E-05,1.08,7.02E-05,1.28
7.03E-05,1.04,7.03E-05,1.26
7.04E-05,1.04,7.04E-05,1.28
7.05E-05,1.08,7.05E-05,1.24
7.06E-05,1.04,7.06E-05,1.24
7.07E-05,1.08,7.07E-05,1.24
7.08E-05,1.04,7.08E-05,1.26
7.09E-05,1.04,7.09E-05,1.22
7.10E-05,1.04,7.10E-05,1.24
7.11E-05,1.04,7.11E-05,1.2
7.12E-05,1.04,7.12E-05,1.22
7.13E-05,1.04,7.13E-05,1.2
7.14E-05,1.08,7.14E-05,1.2
7.15E-05,1.08,7.15E-05,1.2
7.16E-05,1.04,7.16E-05,1.18
7.17E-05,1.04,7.17E-05,1.2
7.18E-05,1.08,7.18E-05,1.16
7.19E-05,1.04,7.19E-05,1.18
7.20E-05,1.08,7.20E-05,1.14
7.21E-05,1.08,7.21E-05,1.16
7.22E-05,1.04,7.22E-05,1.16
7.23E-05,1.04,7.23E-05,1.18
7.24E-05,1.04,7.24E-05,1.14
7.25E-05,1.08,7.25E-05,1.14
7.26E-05,1.08,7.26E-05,1.14
7.27E-05,1.04,7.27E-05,1.14
7.28E-05,1.08,7.28E-05,1.12
7.29E-05,1.08,7.29E-05,1.12
7.30E-05,1.08,7.30E-05,1.12
7.31E-05,1.08,7.31E-05,1.14
7.32E-05,1.04,7.32E-05,1.1
7.33E-05,1.04,7.33E-05,1.08
7.34E-05,1.08,7.34E-05,1.12
7.35E-05,1.08,7.35E-05,1.1
7.36E-05,1.08,7.36E-05,1.08
7.37E-05,1.04,7.37E-05,1.08
7.38E-05,1.04,7.38E-05,1.06
7.39E-05,1.08,7.39E-05,1.08
7.40E-05,1.04,7.40E-05,1.08
7.41E-05,1.08,7.41E-05,1.08
7.42E-05,1.08,7.42E-05,1.06
7.43E-05,1.04,7.43E-05,1.06
7.44E-05,1.04,7.44E-05,1.04
7.45E-05,1.04,7.45E-05,1.06
7.46E-05,1,7.46E-05,1.04
7.47E-05,1.08,7.47E-05,1.04
7.48E-05,1.08,7.48E-05,1.02
7.49E-05,1.08,7.49E-05,1
7.50E-05,1.08,7.50E-05,1
7.51E-05,1.08,7.51E-05,1
7.52E-05,1.08,7.52E-05,1
7.53E-05,1.04,7.53E-05,1.02
7.54E-05,1.04,7.54E-05,1
7.55E-05,1.04,7.55E-05,1
7.56E-05,1.04,7.56E-05,0.98
7.57E-05,1.08,7.57E-05,0.98
7.58E-05,1.08,7.58E-05,0.98
7.59E-05,1.04,7.59E-05,0.98
7.60E-05,1.04,7.60E-05,0.96
7.61E-05,1.04,7.61E-05,0.98
7.62E-05,1.08,7.62E-05,0.94
7.63E-05,1.04,7.63E-05,0.96
7.64E-05,1.08,7.64E-05,0.94
7.65E-05,1.04,7.65E-05,0.94
7.66E-05,1.08,7.66E-05,0.96
7.67E-05,1.12,7.67E-05,0.94
7.68E-05,1.04,7.68E-05,0.92
7.69E-05,1.08,7.69E-05,0.92
7.70E-05,1.12,7.70E-05,0.92
7.71E-05,1.04,7.71E-05,0.92
7.72E-05,1.08,7.72E-05,0.92
7.73E-05,1.04,7.73E-05,0.92
7.74E-05,1.08,7.74E-05,0.9
7.75E-05,1.08,7.75E-05,0.9
7.76E-05,1.04,7.76E-05,0.9
7.77E-05,1.08,7.77E-05,0.88
7.78E-05,1.08,7.78E-05,0.88
7.79E-05,1.04,7.79E-05,0.88
7.80E-05,1.12,7.80E-05,0.88
7.81E-05,1.08,7.81E-05,0.88
7.82E-05,1.04,7.82E-05,0.86
7.83E-05,1.04,7.83E-05,0.86
7.84E-05,1.04,7.84E-05,0.86
7.85E-05,1.08,7.85E-05,0.86
7.86E-05,1.08,7.86E-05,0.86
7.87E-05,1,7.87E-05,0.86
7.88E-05,1.04,7.88E-05,0.86
7.89E-05,1.04,7.89E-05,0.84
7.90E-05,1.04,7.90E-05,0.84
7.91E-05,1.04,7.91E-05,0.84
7.92E-05,1.04,7.92E-05,0.82
7.93E-05,1.04,7.93E-05,0.84
7.94E-05,1.04,7.94E-05,0.82
7.95E-05,1.08,7.95E-05,0.82
7.96E-05,1.04,7.96E-05,0.8
7.97E-05,1.04,7.97E-05,0.8
7.98E-05,1.08,7.98E-05,0.82
7.99E-05,1.04,7.99E-05,0.78
8.00E-05,1.08,8.00E-05,0.78
8.01E-05,1.12,8.01E-05,0.78
8.02E-05,1.08,8.02E-05,0.8
8.03E-05,1.08,8.03E-05,0.78
8.04E-05,1.04,8.04E-05,0.8
8.05E-05,1,8.05E-05,0.78
8.06E-05,1.08,8.06E-05,0.8
8.07E-05,1.04,8.07E-05,0.76
8.08E-05,1.08,8.08E-05,0.78
8.09E-05,1.04,8.09E-05,0.76
8.10E-05,1.08,8.10E-05,0.76
8.11E-05,1.08,8.11E-05,0.74
8.12E-05,1.04,8.12E-05,0.76
8.13E-05,1.08,8.13E-05,0.76
8.14E-05,1.08,8.14E-05,0.74
8.15E-05,1.04,8.15E-05,0.74
8.16E-05,1.08,8.16E-05,0.76
8.17E-05,1.08,8.17E-05,0.74
8.18E-05,1.04,8.18E-05,0.74
8.19E-05,1.04,8.19E-05,0.74
8.20E-05,1.08,8.20E-05,0.72
8.21E-05,1.04,8.21E-05,0.74
8.22E-05,1.04,8.22E-05,0.74
8.23E-05,1.08,8.23E-05,0.72
8.24E-05,1.08,8.24E-05,0.72
8.25E-05,1.04,8.25E-05,0.7
8.26E-05,1.08,8.26E-05,0.7
8.27E-05,1.08,8.27E-05,0.7
8.28E-05,1.08,8.28E-05,0.7
8.29E-05,1.04,8.29E-05,0.72
8.30E-05,1.04,8.30E-05,0.7
8.31E-05,1.08,8.31E-05,0.7
8.32E-05,1.08,8.32E-05,0.7
8.33E-05,1.04,8.33E-05,0.68
8.34E-05,1.08,8.34E-05,0.68
8.35E-05,1.08,8.35E-05,0.7
8.36E-05,1.08,8.36E-05,0.68
8.37E-05,1.08,8.37E-05,0.66
8.38E-05,1.04,8.38E-05,0.66
8.39E-05,1.04,8.39E-05,0.68
8.40E-05,1.04,8.40E-05,0.66
8.41E-05,1.08,8.41E-05,0.68
8.42E-05,1.12,8.42E-05,0.66
8.43E-05,1.04,8.43E-05,0.66
8.44E-05,1.04,8.44E-05,0.66
8.45E-05,1.08,8.45E-05,0.64
8.46E-05,1.08,8.46E-05,0.64
8.47E-05,1.08,8.47E-05,0.62
8.48E-05,1.08,8.48E-05,0.66
8.49E-05,1.04,8.49E-05,0.66
8.50E-05,1.12,8.50E-05,0.66
8.51E-05,1.08,8.51E-05,0.62
8.52E-05,1.04,8.52E-05,0.62
8.53E-05,1.04,8.53E-05,0.62
8.54E-05,1.04,8.54E-05,0.6
8.55E-05,1.04,8.55E-05,0.64
8.56E-05,1.08,8.56E-05,0.6
8.57E-05,1.12,8.57E-05,0.62
8.58E-05,1.08,8.58E-05,0.6
8.59E-05,1.08,8.59E-05,0.6
8.60E-05,1.04,8.60E-05,0.62
8.61E-05,1.08,8.61E-05,0.58
8.62E-05,1.04,8.62E-05,0.6
8.63E-05,1.04,8.63E-05,0.6
8.64E-05,1.08,8.64E-05,0.6
8.65E-05,1.08,8.65E-05,0.58
8.66E-05,1.08,8.66E-05,0.58
8.67E-05,1.08,8.67E-05,0.6
8.68E-05,1.08,8.68E-05,0.6
8.69E-05,1.12,8.69E-05,0.58
8.70E-05,1.04,8.70E-05,0.58
8.71E-05,1.04,8.71E-05,0.58
8.72E-05,1.08,8.72E-05,0.58
8.73E-05,1.08,8.73E-05,0.56
8.74E-05,1.08,8.74E-05,0.56
8.75E-05,1.04,8.75E-05,0.54
8.76E-05,1.08,8.76E-05,0.56
8.77E-05,1.08,8.77E-05,0.56
8.78E-05,1.08,8.78E-05,0.58
8.79E-05,1.08,8.79E-05,0.54
8.80E-05,1.08,8.80E-05,0.54
8.81E-05,1.08,8.81E-05,0.56
8.82E-05,1.08,8.82E-05,0.56
8.83E-05,1.08,8.83E-05,0.54
8.84E-05,1.08,8.84E-05,0.54
8.85E-05,1.12,8.85E-05,0.54
8.86E-05,1.04,8.86E-05,0.56
8.87E-05,1.08,8.87E-05,0.54
8.88E-05,1.08,8.88E-05,0.52
8.89E-05,1.08,8.89E-05,0.54
8.90E-05,1.04,8.90E-05,0.52
8.91E-05,1.08,8.91E-05,0.52
8.92E-05,1.04,8.92E-05,0.54
8.93E-05,1.08,8.93E-05,0.52
8.94E-05,1.08,8.94E-05,0.52
8.95E-05,1.08,8.95E-05,0.54
8.96E-05,1.08,8.96E-05,0.52
8.97E-05,1.08,8.97E-05,0.52
8.98E-05,1.08,8.98E-05,0.5
8.99E-05,1.04,8.99E-05,0.52
9.00E-05,1.08,9.00E-05,0.48
9.01E-05,1.08,9.01E-05,0.5
9.02E-05,1.04,9.02E-05,0.5
9.03E-05,1.08,9.03E-05,0.5
9.04E-05,1.04,9.04E-05,0.48
9.05E-05,1.08,9.05E-05,0.48
9.06E-05,1.04,9.06E-05,0.48
9.07E-05,1.08,9.07E-05,0.5
9.08E-05,1.08,9.08E-05,0.48
9.09E-05,1.12,9.09E-05,0.48
9.10E-05,1.08,9.10E-05,0.46
9.11E-05,1.04,9.11E-05,0.48
9.12E-05,1.04,9.12E-05,0.5
9.13E-05,1.12,9.13E-05,0.48
9.14E-05,1.04,9.14E-05,0.48
9.15E-05,1.08,9.15E-05,0.48
9.16E-05,1.12,9.16E-05,0.48
9.17E-05,1.04,9.17E-05,0.46
9.18E-05,1.08,9.18E-05,0.44
9.19E-05,1.12,9.19E-05,0.48
9.20E-05,1.04,9.20E-05,0.46
9.21E-05,1.04,9.21E-05,0.44
9.22E-05,1.08,9.22E-05,0.46
9.23E-05,1.04,9.23E-05,0.46
9.24E-05,1.04,9.24E-05,0.46
9.25E-05,1.08,9.25E-05,0.44
9.26E-05,1.08,9.26E-05,0.46
9.27E-05,1.08,9.27E-05,0.44
9.28E-05,1.04,9.28E-05,0.48
9.29E-05,1.04,9.29E-05,0.42
9.30E-05,1.04,9.30E-05,0.44
9.31E-05,1.08,9.31E-05,0.44
9.32E-05,1.04,9.32E-05,0.44
9.33E-05,1.08,9.33E-05,0.44
9.34E-05,1.08,9.34E-05,0.42
9.35E-05,1.08,9.35E-05,0.44
9.36E-05,1.08,9.36E-05,0.44
9.37E-05,1.04,9.37E-05,0.42
9.38E-05,1.04,9.38E-05,0.44
9.39E-05,1.04,9.39E-05,0.42
9.40E-05,1.08,9.40E-05,0.42
9.41E-05,1.08,9.41E-05,0.44
9.42E-05,1.12,9.42E-05,0.4
9.43E-05,1.08,9.43E-05,0.42
9.44E-05,1.08,9.44E-05,0.4
9.45E-05,1.08,9.45E-05,0.4
9.46E-05,1.08,9.46E-05,0.4
9.47E-05,1.08,9.47E-05,0.42
9.48E-05,1.08,9.48E-05,0.4
9.49E-05,1.08,9.49E-05,0.4
9.50E-05,1.08,9.50E-05,0.4
9.51E-05,1.08,9.51E-05,0.42
9.52E-05,1.04,9.52E-05,0.38
9.53E-05,1.04,9.53E-05,0.4
9.54E-05,1.08,9.54E-05,0.4
9.55E-05,1.08,9.55E-05,0.38
9.56E-05,1.08,9.56E-05,0.38
9.57E-05,1.08,9.57E-05,0.4
9.58E-05,1.08,9.58E-05,0.4
9.59E-05,1.08,9.59E-05,0.4
9.60E-05,1.12,9.60E-05,0.4
9.61E-05,1.04,9.61E-05,0.36
9.62E-05,1.08,9.62E-05,0.38
9.63E-05,1.08,9.63E-05,0.36
9.64E-05,1.08,9.64E-05,0.38
