Frequency (Hz) - Plot 0,Amplitude - Plot 0
0,0.0447424
2000,0.26121
4000,0.469504
6000,0.627109
8000,0.731842
10000,0.803133
12000,0.855675
14000,0.891652
16000,0.910898
18000,0.920701
20000,0.939016
22000,0.949986
24000,0.962153
26000,0.967022
28000,0.964223
30000,0.964265
32000,0.971877
34000,0.973011
36000,0.978044
38000,0.972881
40000,0.974385
42000,0.984929
44000,0.976366
46000,0.976793
48000,0.986183
50000,0.988525
52000,0.983235
54000,0.985069
56000,0.997014
58000,1.00306
60000,0.981685
62000,0.997781
64000,1.00913
66000,1.00153
68000,0.984308
70000,0.995456
72000,0.999853
74000,0.975385
76000,0.983267
78000,1.00316
80000,0.972229
