t_in,v_in,t_out,v_out
0,-0.12,0,0.8
4.00E-06,-0.12,4.00E-06,1.12
8.00E-06,-0.12,8.00E-06,1.44
1.20E-05,-0.12,1.20E-05,1.68
1.60E-05,-0.12,1.60E-05,1.84
2.00E-05,-0.12,2.00E-05,2
2.40E-05,-0.12,2.40E-05,2.16
2.80E-05,-0.12,2.80E-05,2.24
3.20E-05,-0.12,3.20E-05,2.32
3.60E-05,-0.12,3.60E-05,2.4
4.00E-05,-0.12,4.00E-05,2.48
4.40E-05,-0.12,4.40E-05,2.56
4.80E-05,-0.12,4.80E-05,2.48
5.20E-05,-0.12,5.20E-05,2.56
5.60E-05,-0.12,5.60E-05,2.64
6.00E-05,-0.12,6.00E-05,2.64
6.40E-05,-0.12,6.40E-05,2.72
6.80E-05,-0.12,6.80E-05,2.72
7.20E-05,-0.12,7.20E-05,2.72
7.60E-05,-0.12,7.60E-05,2.72
8.00E-05,-0.12,8.00E-05,2.72
8.40E-05,-0.12,8.40E-05,2.72
8.80E-05,-0.12,8.80E-05,2.72
9.20E-05,-0.12,9.20E-05,2.72
9.60E-05,-0.12,9.60E-05,2.72
0.0001,-0.12,0.0001,2.72
0.000104,-0.12,0.000104,2.72
0.000108,-0.12,0.000108,2.72
0.000112,-0.12,0.000112,2.72
0.000116,-0.12,0.000116,2.8
0.00012,-0.12,0.00012,2.72
0.000124,-0.12,0.000124,2.8
0.000128,-0.12,0.000128,2.72
0.000132,-0.12,0.000132,2.8
0.000136,-0.12,0.000136,2.8
0.00014,-0.12,0.00014,2.72
0.000144,-0.12,0.000144,2.72
0.000148,-0.12,0.000148,2.72
0.000152,-0.12,0.000152,2.72
0.000156,-0.12,0.000156,2.72
0.00016,-0.12,0.00016,2.8
0.000164,-0.12,0.000164,2.72
0.000168,-0.12,0.000168,2.72
0.000172,-0.12,0.000172,2.72
0.000176,-0.12,0.000176,2.72
0.00018,-0.12,0.00018,2.72
0.000184,-0.12,0.000184,2.72
0.000188,-0.12,0.000188,2.72
0.000192,-0.12,0.000192,2.72
0.000196,-0.12,0.000196,2.72
0.0002,-0.12,0.0002,2.72
0.000204,-0.12,0.000204,2.8
0.000208,-0.12,0.000208,2.72
0.000212,-0.12,0.000212,2.8
0.000216,-0.12,0.000216,2.72
0.00022,-0.12,0.00022,2.72
0.000224,-0.12,0.000224,2.72
0.000228,-0.12,0.000228,2.72
0.000232,-0.12,0.000232,2.8
0.000236,-0.12,0.000236,2.72
0.00024,-0.12,0.00024,2.72
0.000244,-0.12,0.000244,2.72
0.000248,-0.112,0.000248,2.72
0.000252,-0.12,0.000252,2.72
0.000256,-0.12,0.000256,2.8
0.00026,-0.12,0.00026,2.8
0.000264,-0.12,0.000264,2.8
0.000268,-0.12,0.000268,2.8
0.000272,-0.12,0.000272,2.8
0.000276,-0.12,0.000276,2.72
0.00028,-0.12,0.00028,2.8
0.000284,-0.12,0.000284,2.8
0.000288,-0.12,0.000288,2.72
0.000292,-0.12,0.000292,2.72
0.000296,-0.12,0.000296,2.8
0.0003,-0.12,0.0003,2.72
0.000304,-0.12,0.000304,2.72
0.000308,-0.12,0.000308,2.72
0.000312,-0.12,0.000312,2.72
0.000316,-0.12,0.000316,2.72
0.00032,-0.112,0.00032,2.8
0.000324,-0.12,0.000324,2.72
0.000328,-0.12,0.000328,2.72
0.000332,-0.12,0.000332,2.72
0.000336,-0.12,0.000336,2.72
0.00034,-0.12,0.00034,2.72
0.000344,-0.12,0.000344,2.72
0.000348,-0.12,0.000348,2.72
0.000352,-0.12,0.000352,2.72
0.000356,-0.12,0.000356,2.72
0.00036,-0.12,0.00036,2.8
0.000364,-0.12,0.000364,2.72
0.000368,-0.12,0.000368,2.72
0.000372,-0.12,0.000372,2.72
0.000376,-0.12,0.000376,2.72
0.00038,-0.12,0.00038,2.72
0.000384,0.128,0.000384,2.72
0.000388,0.136,0.000388,2.72
0.000392,0.136,0.000392,2.72
0.000396,0.136,0.000396,2.72
0.0004,0.136,0.0004,2.72
0.000404,0.136,0.000404,2.72
0.000408,0.136,0.000408,2.72
0.000412,0.136,0.000412,2.72
0.000416,0.136,0.000416,2.72
0.00042,0.136,0.00042,2.72
0.000424,0.136,0.000424,2.72
0.000428,0.136,0.000428,2.72
0.000432,0.136,0.000432,2.72
0.000436,0.136,0.000436,2.72
0.00044,0.136,0.00044,2.72
0.000444,0.136,0.000444,2.72
0.000448,0.136,0.000448,2.72
0.000452,0.136,0.000452,2.72
0.000456,0.136,0.000456,2.72
0.00046,0.136,0.00046,2.72
0.000464,0.136,0.000464,2.72
0.000468,0.136,0.000468,2.72
0.000472,0.136,0.000472,2.72
0.000476,0.136,0.000476,2.72
0.00048,0.136,0.00048,2.64
0.000484,0.136,0.000484,2.72
0.000488,0.136,0.000488,2.72
0.000492,0.136,0.000492,2.72
0.000496,0.136,0.000496,2.72
0.0005,0.136,0.0005,2.72
0.000504,0.136,0.000504,2.72
0.000508,0.136,0.000508,2.72
0.000512,0.136,0.000512,2.72
0.000516,0.136,0.000516,2.72
0.00052,0.136,0.00052,2.72
0.000524,0.136,0.000524,2.72
0.000528,0.136,0.000528,2.72
0.000532,0.136,0.000532,2.72
0.000536,0.136,0.000536,2.72
0.00054,0.136,0.00054,2.72
0.000544,0.136,0.000544,2.72
0.000548,0.136,0.000548,2.72
0.000552,0.136,0.000552,2.72
0.000556,0.136,0.000556,2.72
0.00056,0.136,0.00056,2.72
0.000564,0.136,0.000564,2.72
0.000568,0.136,0.000568,2.72
0.000572,0.136,0.000572,2.72
0.000576,0.136,0.000576,2.72
0.00058,0.136,0.00058,2.72
0.000584,0.136,0.000584,2.72
0.000588,0.128,0.000588,2.72
0.000592,0.136,0.000592,2.72
0.000596,0.128,0.000596,2.72
0.0006,0.136,0.0006,2.72
0.000604,0.136,0.000604,2.8
0.000608,0.136,0.000608,2.72
0.000612,0.136,0.000612,2.8
0.000616,0.136,0.000616,2.72
0.00062,0.136,0.00062,2.72
0.000624,0.136,0.000624,2.72
0.000628,0.136,0.000628,2.72
0.000632,0.136,0.000632,2.72
0.000636,0.136,0.000636,2.72
0.00064,0.136,0.00064,2.72
0.000644,0.136,0.000644,2.72
0.000648,0.136,0.000648,2.72
0.000652,0.136,0.000652,2.72
0.000656,0.136,0.000656,2.72
0.00066,0.136,0.00066,2.72
0.000664,0.136,0.000664,2.72
0.000668,0.128,0.000668,2.72
0.000672,0.136,0.000672,2.72
0.000676,0.136,0.000676,2.72
0.00068,0.136,0.00068,2.72
0.000684,0.136,0.000684,2.72
0.000688,0.136,0.000688,2.8
0.000692,0.136,0.000692,2.72
0.000696,0.136,0.000696,2.72
0.0007,0.136,0.0007,2.72
0.000704,0.136,0.000704,2.72
0.000708,0.136,0.000708,2.72
0.000712,0.136,0.000712,2.72
0.000716,0.136,0.000716,2.8
0.00072,0.136,0.00072,2.72
0.000724,0.136,0.000724,2.72
0.000728,0.136,0.000728,2.72
0.000732,0.136,0.000732,2.72
0.000736,0.136,0.000736,2.72
0.00074,0.136,0.00074,2.72
0.000744,0.136,0.000744,2.72
0.000748,0.136,0.000748,2.72
0.000752,0.136,0.000752,2.72
0.000756,0.136,0.000756,2.72
0.00076,0.136,0.00076,2.72
0.000764,0.136,0.000764,2.72
0.000768,0.136,0.000768,2.72
0.000772,0.136,0.000772,2.72
0.000776,0.136,0.000776,2.72
0.00078,0.136,0.00078,2.72
0.000784,0.136,0.000784,2.72
0.000788,0.136,0.000788,2.72
0.000792,0.136,0.000792,2.72
0.000796,0.136,0.000796,2.72
0.0008,0.136,0.0008,2.72
0.000804,0.136,0.000804,2.72
0.000808,0.136,0.000808,2.72
0.000812,0.136,0.000812,2.72
0.000816,0.136,0.000816,2.72
0.00082,0.136,0.00082,2.72
0.000824,0.136,0.000824,2.72
