t_in,v_in,t_out,v_out
1,0.008,1,0
1.001,0.008,1.001,0
1.002,0.008,1.002,0.08
1.003,0.008,1.003,0
1.004,0.008,1.004,0
1.005,0.008,1.005,0
1.006,0.008,1.006,0
1.007,0.008,1.007,0
1.008,0.008,1.008,0
1.009,0.008,1.009,0
1.01,0.008,1.01,0
1.011,0.008,1.011,0
1.012,0.008,1.012,0
1.013,0.008,1.013,0
1.014,0.008,1.014,0
1.015,0.008,1.015,0.08
1.016,0.008,1.016,0
1.017,0.008,1.017,0
1.018,0.008,1.018,0.08
1.019,0.008,1.019,0
1.02,0.008,1.02,0
1.021,0.008,1.021,0
1.022,0.008,1.022,0
1.023,0.008,1.023,0
1.024,0.008,1.024,0
1.025,0.008,1.025,0
1.026,0.008,1.026,0
1.027,0.008,1.027,0
1.028,0.008,1.028,0
1.029,0.008,1.029,0
1.03,0.008,1.03,0.08
1.031,0.008,1.031,0
1.032,0.008,1.032,0
1.033,0.008,1.033,0
1.034,0.008,1.034,0
1.035,0.008,1.035,0
1.036,0.008,1.036,0
1.037,0.008,1.037,0
1.038,0.008,1.038,0
1.039,0.008,1.039,0
1.04,0.008,1.04,0
1.041,0.008,1.041,0
1.042,0.008,1.042,0
1.043,0.008,1.043,0
1.044,0.008,1.044,0
1.045,0.008,1.045,0
1.046,0.008,1.046,0
1.047,0.008,1.047,0
1.048,0.008,1.048,0.08
1.049,0.008,1.049,-0.08
1.05,0.008,1.05,0
1.051,0.008,1.051,0
1.052,0.008,1.052,0
1.053,0.008,1.053,0
1.054,0.008,1.054,0
1.055,0.008,1.055,0
1.056,0.008,1.056,0
1.057,0.008,1.057,0
1.058,0.008,1.058,0
1.059,0.008,1.059,0
1.06,0.008,1.06,0
1.061,0.008,1.061,0
1.062,0.008,1.062,0
1.063,0.008,1.063,0
1.064,0.008,1.064,0
1.065,0.008,1.065,0
1.066,0.008,1.066,0
1.067,0.008,1.067,0
1.068,0.008,1.068,0
1.069,0.008,1.069,0.08
1.07,0.008,1.07,0
1.071,0.008,1.071,0
1.072,0.008,1.072,0
1.073,0.008,1.073,0
