Time - Plot 0,Amplitude - Plot 0,Time - Plot 1,Amplitude - Plot 1
0,-1.04,0,-0.82
2.00E-07,-1.02,2.00E-07,-0.8
4.00E-07,-1,4.00E-07,-0.8
6.00E-07,-1.02,6.00E-07,-0.82
8.00E-07,-1.02,8.00E-07,-0.82
1.00E-06,-1.02,1.00E-06,-0.82
1.20E-06,-1.06,1.20E-06,-0.8
1.40E-06,-1.02,1.40E-06,-0.84
1.60E-06,-1.04,1.60E-06,-0.8
1.80E-06,-1.02,1.80E-06,-0.82
2.00E-06,-1,2.00E-06,-0.82
2.20E-06,-1.02,2.20E-06,-0.84
2.40E-06,-1,2.40E-06,-0.84
2.60E-06,-1.02,2.60E-06,-0.82
2.80E-06,-1.02,2.80E-06,-0.84
3.00E-06,-1.02,3.00E-06,-0.86
3.20E-06,-1.02,3.20E-06,-0.82
3.40E-06,-1.02,3.40E-06,-0.84
3.60E-06,-1.02,3.60E-06,-0.82
3.80E-06,-1,3.80E-06,-0.86
4.00E-06,-1.04,4.00E-06,-0.82
4.20E-06,-1.02,4.20E-06,-0.84
4.40E-06,-1.02,4.40E-06,-0.86
4.60E-06,-1.04,4.60E-06,-0.86
4.80E-06,-1.04,4.80E-06,-0.84
5.00E-06,-1.04,5.00E-06,-0.86
5.20E-06,-1.02,5.20E-06,-0.84
5.40E-06,-1.02,5.40E-06,-0.84
5.60E-06,-1.04,5.60E-06,-0.84
5.80E-06,-1,5.80E-06,-0.84
6.00E-06,-1.02,6.00E-06,-0.84
6.20E-06,-1.02,6.20E-06,-0.86
6.40E-06,-1,6.40E-06,-0.86
6.60E-06,-1.02,6.60E-06,-0.86
6.80E-06,-1.04,6.80E-06,-0.88
7.00E-06,-1.02,7.00E-06,-0.84
7.20E-06,-1.02,7.20E-06,-0.86
7.40E-06,-1.02,7.40E-06,-0.86
7.60E-06,-1.02,7.60E-06,-0.84
7.80E-06,-1.04,7.80E-06,-0.84
8.00E-06,-1.04,8.00E-06,-0.84
8.20E-06,-1.02,8.20E-06,-0.84
8.40E-06,-1.04,8.40E-06,-0.86
8.60E-06,-1.02,8.60E-06,-0.86
8.80E-06,-1.02,8.80E-06,-0.88
9.00E-06,-1,9.00E-06,-0.88
9.20E-06,-0.98,9.20E-06,-0.88
9.40E-06,-1.02,9.40E-06,-0.88
9.60E-06,-1.02,9.60E-06,-0.88
9.80E-06,-1,9.80E-06,-0.84
1.00E-05,-1.02,1.00E-05,-0.88
1.02E-05,-1,1.02E-05,-0.88
1.04E-05,-1,1.04E-05,-0.88
1.06E-05,-1.02,1.06E-05,-0.88
1.08E-05,-1.02,1.08E-05,-0.86
1.10E-05,-1.04,1.10E-05,-0.9
1.12E-05,-1,1.12E-05,-0.86
1.14E-05,-1.04,1.14E-05,-0.86
1.16E-05,-1.04,1.16E-05,-0.84
1.18E-05,-1.02,1.18E-05,-0.88
1.20E-05,-1.02,1.20E-05,-0.88
1.22E-05,-1,1.22E-05,-0.86
1.24E-05,-1.02,1.24E-05,-0.88
1.26E-05,-1.02,1.26E-05,-0.88
1.28E-05,-1,1.28E-05,-0.88
1.30E-05,-1.02,1.30E-05,-0.9
1.32E-05,-1.02,1.32E-05,-0.88
1.34E-05,-1.02,1.34E-05,-0.86
1.36E-05,-1,1.36E-05,-0.88
1.38E-05,-1.02,1.38E-05,-0.9
1.40E-05,-1.02,1.40E-05,-0.86
1.42E-05,-1,1.42E-05,-0.88
1.44E-05,-1.02,1.44E-05,-0.86
1.46E-05,-1,1.46E-05,-0.86
1.48E-05,-1,1.48E-05,-0.88
1.50E-05,-1.02,1.50E-05,-0.88
1.52E-05,-1.04,1.52E-05,-0.9
1.54E-05,-1.02,1.54E-05,-0.9
1.56E-05,-1.02,1.56E-05,-0.88
1.58E-05,-1,1.58E-05,-0.88
1.60E-05,-1,1.60E-05,-0.9
1.62E-05,-1.04,1.62E-05,-0.9
1.64E-05,-1.02,1.64E-05,-0.88
1.66E-05,-1.02,1.66E-05,-0.88
1.68E-05,-1.02,1.68E-05,-0.9
1.70E-05,-1.02,1.70E-05,-0.88
1.72E-05,-1.02,1.72E-05,-0.92
1.74E-05,-1.02,1.74E-05,-0.88
1.76E-05,-1,1.76E-05,-0.92
1.78E-05,-1.02,1.78E-05,-0.9
1.80E-05,-1.04,1.80E-05,-0.9
1.82E-05,-1.02,1.82E-05,-0.86
1.84E-05,-1.02,1.84E-05,-0.88
1.86E-05,-1.02,1.86E-05,-0.9
1.88E-05,-1,1.88E-05,-0.9
1.90E-05,-1.02,1.90E-05,-0.88
1.92E-05,-1.02,1.92E-05,-0.88
1.94E-05,-1.04,1.94E-05,-0.92
1.96E-05,-1.02,1.96E-05,-0.9
1.98E-05,-1.02,1.98E-05,-0.88
2.00E-05,-1.02,2.00E-05,-0.9
2.02E-05,-1.02,2.02E-05,-0.9
2.04E-05,-1.02,2.04E-05,-0.92
2.06E-05,-1,2.06E-05,-0.88
2.08E-05,-1.02,2.08E-05,-0.9
2.10E-05,-1,2.10E-05,-0.92
2.12E-05,-0.98,2.12E-05,-0.94
2.14E-05,-1.02,2.14E-05,-0.9
2.16E-05,-1.02,2.16E-05,-0.92
2.18E-05,-1.02,2.18E-05,-0.92
2.20E-05,-1.04,2.20E-05,-0.92
2.22E-05,-1.04,2.22E-05,-0.9
2.24E-05,-1.04,2.24E-05,-0.9
2.26E-05,-1.02,2.26E-05,-0.92
2.28E-05,-1,2.28E-05,-0.9
2.30E-05,-1.04,2.30E-05,-0.9
2.32E-05,-1,2.32E-05,-0.9
2.34E-05,-1.02,2.34E-05,-0.88
2.36E-05,-1.02,2.36E-05,-0.88
2.38E-05,-1,2.38E-05,-0.88
2.40E-05,-1.02,2.40E-05,-0.9
2.42E-05,-1.02,2.42E-05,-0.88
2.44E-05,-1,2.44E-05,-0.92
2.46E-05,-1.02,2.46E-05,-0.9
2.48E-05,-1.04,2.48E-05,-0.92
2.50E-05,-0.98,2.50E-05,-0.92
2.52E-05,-1.04,2.52E-05,-0.92
2.54E-05,-1.02,2.54E-05,-0.92
2.56E-05,-1.02,2.56E-05,-0.9
2.58E-05,-1.02,2.58E-05,-0.92
2.60E-05,-1.04,2.60E-05,-0.92
2.62E-05,-1.02,2.62E-05,-0.92
2.64E-05,-1.04,2.64E-05,-0.92
2.66E-05,-1.02,2.66E-05,-0.92
2.68E-05,-1.02,2.68E-05,-0.92
2.70E-05,-1.02,2.70E-05,-0.92
2.72E-05,-1.02,2.72E-05,-0.9
2.74E-05,-1,2.74E-05,-0.88
2.76E-05,-1.04,2.76E-05,-0.94
2.78E-05,-1.02,2.78E-05,-0.9
2.80E-05,-1,2.80E-05,-0.92
2.82E-05,-1.02,2.82E-05,-0.92
2.84E-05,-1,2.84E-05,-0.9
2.86E-05,-1.02,2.86E-05,-0.92
2.88E-05,-1.02,2.88E-05,-0.92
