t_in,v_in,t_out,v_out
1.24e-05,1.08,1.24e-05,0.78
1.25e-05,-1.0,1.25e-05,0.66
1.26e-05,-0.96,1.26e-05,0.74
1.27e-05,-0.96,1.27e-05,0.76
1.28e-05,-0.96,1.28e-05,0.76
1.29e-05,-0.96,1.29e-05,0.74
1.3e-05,-0.96,1.3e-05,0.72
1.31e-05,-0.96,1.31e-05,0.74
1.32e-05,-0.96,1.32e-05,0.72
1.33e-05,-0.96,1.33e-05,0.72
1.34e-05,-0.96,1.34e-05,0.7
1.35e-05,-0.96,1.35e-05,0.72
1.36e-05,-0.96,1.36e-05,0.7
1.37e-05,-0.96,1.37e-05,0.68
1.38e-05,-0.96,1.38e-05,0.7
1.39e-05,-0.96,1.39e-05,0.68
1.4e-05,-0.88,1.4e-05,0.68
1.41e-05,-1.0,1.41e-05,0.66
1.42e-05,-0.96,1.42e-05,0.64
1.43e-05,-0.96,1.43e-05,0.66
1.44e-05,-0.96,1.44e-05,0.62
1.45e-05,-0.96,1.45e-05,0.64
1.46e-05,-1.0,1.46e-05,0.64
1.47e-05,-0.96,1.47e-05,0.6
1.48e-05,-0.92,1.48e-05,0.62
1.49e-05,-0.96,1.49e-05,0.6
1.5e-05,-1.0,1.5e-05,0.58
1.51e-05,-0.96,1.51e-05,0.6
1.52e-05,-0.92,1.52e-05,0.58
1.53e-05,-0.96,1.53e-05,0.58
1.54e-05,-1.0,1.54e-05,0.54
1.55e-05,-0.92,1.55e-05,0.54
1.56e-05,-1.0,1.56e-05,0.54
1.57e-05,-0.92,1.57e-05,0.52
1.58e-05,-1.0,1.58e-05,0.54
1.59e-05,-1.0,1.59e-05,0.52
1.6e-05,-0.96,1.6e-05,0.5
1.61e-05,-0.96,1.61e-05,0.5
1.62e-05,-0.96,1.62e-05,0.5
1.63e-05,-0.92,1.63e-05,0.5
1.64e-05,-0.96,1.64e-05,0.5
1.65e-05,-0.96,1.65e-05,0.48
1.66e-05,-0.96,1.66e-05,0.48
1.67e-05,-0.96,1.67e-05,0.46
1.68e-05,-0.96,1.68e-05,0.46
1.69e-05,-0.96,1.69e-05,0.44
1.7e-05,-0.96,1.7e-05,0.44
1.71e-05,-0.96,1.71e-05,0.42
1.72e-05,-1.0,1.72e-05,0.44
1.73e-05,-0.92,1.73e-05,0.44
1.74e-05,-0.96,1.74e-05,0.44
1.75e-05,-0.96,1.75e-05,0.42
1.76e-05,-0.96,1.76e-05,0.4
1.77e-05,-0.92,1.77e-05,0.4
1.78e-05,-0.96,1.78e-05,0.38
1.79e-05,-0.96,1.79e-05,0.4
1.8e-05,-0.96,1.8e-05,0.38
1.81e-05,-1.0,1.81e-05,0.38
1.82e-05,-0.96,1.82e-05,0.4
1.83e-05,-0.96,1.83e-05,0.38
1.84e-05,-0.96,1.84e-05,0.36
1.85e-05,-0.96,1.85e-05,0.34
1.86e-05,-0.92,1.86e-05,0.36
1.87e-05,-0.96,1.87e-05,0.32
1.88e-05,-0.96,1.88e-05,0.32
1.89e-05,-0.96,1.89e-05,0.3
1.9e-05,-0.96,1.9e-05,0.32
1.91e-05,-0.96,1.91e-05,0.3
1.92e-05,-0.96,1.92e-05,0.3
1.93e-05,-0.96,1.93e-05,0.3
1.94e-05,-1.0,1.94e-05,0.3
1.95e-05,-0.96,1.95e-05,0.3
1.96e-05,-0.96,1.96e-05,0.28
1.97e-05,-0.96,1.97e-05,0.28
1.98e-05,-0.96,1.98e-05,0.26
1.99e-05,-1.0,1.99e-05,0.28
2e-05,-0.96,2e-05,0.24
2.01e-05,-0.92,2.01e-05,0.24
2.02e-05,-1.0,2.02e-05,0.24
2.03e-05,-0.92,2.03e-05,0.24
2.04e-05,-0.96,2.04e-05,0.22
2.05e-05,-0.96,2.05e-05,0.22
2.06e-05,-0.96,2.06e-05,0.22
2.07e-05,-1.0,2.07e-05,0.24
2.08e-05,-0.96,2.08e-05,0.18
2.09e-05,-0.92,2.09e-05,0.2
2.1e-05,-1.04,2.1e-05,0.2
2.11e-05,-0.96,2.11e-05,0.2
2.12e-05,-0.92,2.12e-05,0.18
2.13e-05,-0.96,2.13e-05,0.18
2.14e-05,-0.96,2.14e-05,0.16
2.15e-05,-0.96,2.15e-05,0.18
2.16e-05,-0.96,2.16e-05,0.16
2.17e-05,-1.0,2.17e-05,0.16
2.18e-05,-0.96,2.18e-05,0.14
2.19e-05,-0.96,2.19e-05,0.16
2.2e-05,-1.0,2.2e-05,0.14
2.21e-05,-1.0,2.21e-05,0.14
2.22e-05,-1.0,2.22e-05,0.14
2.23e-05,-0.92,2.23e-05,0.12
2.24e-05,-0.92,2.24e-05,0.1
2.25e-05,-0.96,2.25e-05,0.14
2.26e-05,-0.96,2.26e-05,0.12
2.27e-05,-0.96,2.27e-05,0.08
2.28e-05,-1.0,2.28e-05,0.1
2.29e-05,-0.96,2.29e-05,0.08
2.3e-05,-0.96,2.3e-05,0.1
2.31e-05,-0.96,2.31e-05,0.08
2.32e-05,-1.0,2.32e-05,0.08
2.33e-05,-0.96,2.33e-05,0.06
2.34e-05,-0.96,2.34e-05,0.06
2.35e-05,-0.96,2.35e-05,0.06
2.36e-05,-0.96,2.36e-05,0.06
2.37e-05,-0.96,2.37e-05,0.06
2.38e-05,-0.96,2.38e-05,0.02
2.39e-05,-0.96,2.39e-05,0.04
2.4e-05,-0.96,2.4e-05,0.04
2.41e-05,-1.0,2.41e-05,0.04
2.42e-05,-0.96,2.42e-05,0.02
2.43e-05,-1.0,2.43e-05,0.02
2.44e-05,-0.96,2.44e-05,0.06
2.45e-05,-0.96,2.45e-05,0.02
2.46e-05,-0.96,2.46e-05,0.02
2.47e-05,-1.0,2.47e-05,0.0
2.48e-05,-0.92,2.48e-05,0.0
2.49e-05,-1.0,2.49e-05,0.0
2.5e-05,-0.96,2.5e-05,0.0
2.51e-05,-0.96,2.51e-05,0.02
2.52e-05,-0.96,2.52e-05,0.0
2.53e-05,-0.96,2.53e-05,0.0
2.54e-05,-0.96,2.54e-05,-0.04
2.55e-05,-1.0,2.55e-05,-0.04
2.56e-05,-0.96,2.56e-05,-0.02
2.57e-05,-1.0,2.57e-05,-0.04
2.58e-05,-0.92,2.58e-05,-0.02
2.59e-05,-1.0,2.59e-05,-0.06
2.6e-05,-1.0,2.6e-05,-0.04
2.61e-05,-1.0,2.61e-05,-0.04
2.62e-05,-0.96,2.62e-05,-0.06
2.63e-05,-1.0,2.63e-05,-0.08
2.64e-05,-1.0,2.64e-05,-0.08
2.65e-05,-0.96,2.65e-05,-0.08
2.66e-05,-0.96,2.66e-05,-0.08
2.67e-05,-1.0,2.67e-05,-0.1
2.68e-05,-0.96,2.68e-05,-0.1
2.69e-05,-1.0,2.69e-05,-0.1
2.7e-05,-1.0,2.7e-05,-0.08
2.71e-05,-1.0,2.71e-05,-0.12
2.72e-05,-0.96,2.72e-05,-0.08
2.73e-05,-0.96,2.73e-05,-0.12
2.74e-05,-0.96,2.74e-05,-0.12
2.75e-05,-0.92,2.75e-05,-0.12
2.76e-05,-0.92,2.76e-05,-0.12
2.77e-05,-0.96,2.77e-05,-0.14
2.78e-05,-0.96,2.78e-05,-0.12
2.79e-05,-0.96,2.79e-05,-0.12
2.8e-05,-1.0,2.8e-05,-0.16
2.81e-05,-0.96,2.81e-05,-0.12
2.82e-05,-0.96,2.82e-05,-0.14
2.83e-05,-0.96,2.83e-05,-0.14
2.84e-05,-0.92,2.84e-05,-0.16
2.85e-05,-0.96,2.85e-05,-0.16
2.86e-05,-1.0,2.86e-05,-0.14
2.87e-05,-0.96,2.87e-05,-0.16
2.88e-05,-1.0,2.88e-05,-0.18
2.89e-05,-0.92,2.89e-05,-0.18
2.9e-05,-1.0,2.9e-05,-0.18
2.91e-05,-0.96,2.91e-05,-0.18
2.92e-05,-0.92,2.92e-05,-0.18
2.93e-05,-0.96,2.93e-05,-0.18
2.94e-05,-1.0,2.94e-05,-0.18
2.95e-05,-0.96,2.95e-05,-0.18
2.96e-05,-0.96,2.96e-05,-0.2
2.97e-05,-0.96,2.97e-05,-0.2
2.98e-05,-0.96,2.98e-05,-0.22
2.99e-05,-0.96,2.99e-05,-0.22
3e-05,-1.0,3e-05,-0.22
3.01e-05,-1.0,3.01e-05,-0.22
3.02e-05,-0.96,3.02e-05,-0.24
3.03e-05,-1.0,3.03e-05,-0.24
3.04e-05,-0.96,3.04e-05,-0.26
3.05e-05,-0.96,3.05e-05,-0.22
3.06e-05,-0.96,3.06e-05,-0.24
3.07e-05,-0.96,3.07e-05,-0.24
3.08e-05,-0.96,3.08e-05,-0.24
3.09e-05,-0.96,3.09e-05,-0.24
3.1e-05,-0.96,3.1e-05,-0.24
3.11e-05,-0.96,3.11e-05,-0.26
3.12e-05,-1.0,3.12e-05,-0.26
3.13e-05,-1.0,3.13e-05,-0.24
3.14e-05,-0.96,3.14e-05,-0.26
3.15e-05,-0.92,3.15e-05,-0.26
3.16e-05,-1.0,3.16e-05,-0.26
3.17e-05,-0.96,3.17e-05,-0.26
3.18e-05,-0.96,3.18e-05,-0.26
3.19e-05,-1.0,3.19e-05,-0.3
3.2e-05,-1.0,3.2e-05,-0.28
3.21e-05,-1.0,3.21e-05,-0.28
3.22e-05,-1.0,3.22e-05,-0.32
3.23e-05,-0.96,3.23e-05,-0.28
3.24e-05,-1.0,3.24e-05,-0.28
3.25e-05,-0.96,3.25e-05,-0.3
3.26e-05,-0.96,3.26e-05,-0.32
3.27e-05,-0.96,3.27e-05,-0.32
3.28e-05,-0.96,3.28e-05,-0.3
3.29e-05,-0.96,3.29e-05,-0.32
3.3e-05,-0.96,3.3e-05,-0.32
3.31e-05,-0.96,3.31e-05,-0.3
3.32e-05,-1.0,3.32e-05,-0.34
3.33e-05,-0.96,3.33e-05,-0.32
3.34e-05,-1.0,3.34e-05,-0.3
3.35e-05,-0.96,3.35e-05,-0.32
3.36e-05,-0.92,3.36e-05,-0.32
3.37e-05,-1.04,3.37e-05,-0.34
3.38e-05,-0.96,3.38e-05,-0.38
3.39e-05,-0.92,3.39e-05,-0.34
3.4e-05,-0.96,3.4e-05,-0.34
3.41e-05,-0.96,3.41e-05,-0.36
3.42e-05,-0.96,3.42e-05,-0.36
3.43e-05,-0.96,3.43e-05,-0.34
3.44e-05,-0.96,3.44e-05,-0.36
3.45e-05,-1.0,3.45e-05,-0.32
3.46e-05,-0.96,3.46e-05,-0.36
3.47e-05,-1.0,3.47e-05,-0.36
3.48e-05,-1.0,3.48e-05,-0.38
3.49e-05,-0.96,3.49e-05,-0.38
3.5e-05,-0.96,3.5e-05,-0.36
3.51e-05,-0.96,3.51e-05,-0.38
