t_in	v_in	t_out	v_out
1.24E-05	1.08	1.24E-05	0.78
1.25E-05	-1	1.25E-05	0.66
1.26E-05	-0.96	1.26E-05	0.74
1.27E-05	-0.96	1.27E-05	0.76
1.28E-05	-0.96	1.28E-05	0.76
1.29E-05	-0.96	1.29E-05	0.74
1.30E-05	-0.96	1.30E-05	0.72
1.31E-05	-0.96	1.31E-05	0.74
1.32E-05	-0.96	1.32E-05	0.72
1.33E-05	-0.96	1.33E-05	0.72
1.34E-05	-0.96	1.34E-05	0.7
1.35E-05	-0.96	1.35E-05	0.72
1.36E-05	-0.96	1.36E-05	0.7
1.37E-05	-0.96	1.37E-05	0.68
1.38E-05	-0.96	1.38E-05	0.7
1.39E-05	-0.96	1.39E-05	0.68
1.40E-05	-0.88	1.40E-05	0.68
1.41E-05	-1	1.41E-05	0.66
1.42E-05	-0.96	1.42E-05	0.64
1.43E-05	-0.96	1.43E-05	0.66
1.44E-05	-0.96	1.44E-05	0.62
1.45E-05	-0.96	1.45E-05	0.64
1.46E-05	-1	1.46E-05	0.64
1.47E-05	-0.96	1.47E-05	0.6
1.48E-05	-0.92	1.48E-05	0.62
1.49E-05	-0.96	1.49E-05	0.6
1.50E-05	-1	1.50E-05	0.58
1.51E-05	-0.96	1.51E-05	0.6
1.52E-05	-0.92	1.52E-05	0.58
1.53E-05	-0.96	1.53E-05	0.58
1.54E-05	-1	1.54E-05	0.54
1.55E-05	-0.92	1.55E-05	0.54
1.56E-05	-1	1.56E-05	0.54
1.57E-05	-0.92	1.57E-05	0.52
1.58E-05	-1	1.58E-05	0.54
1.59E-05	-1	1.59E-05	0.52
1.60E-05	-0.96	1.60E-05	0.5
1.61E-05	-0.96	1.61E-05	0.5
1.62E-05	-0.96	1.62E-05	0.5
1.63E-05	-0.92	1.63E-05	0.5
1.64E-05	-0.96	1.64E-05	0.5
1.65E-05	-0.96	1.65E-05	0.48
1.66E-05	-0.96	1.66E-05	0.48
1.67E-05	-0.96	1.67E-05	0.46
1.68E-05	-0.96	1.68E-05	0.46
1.69E-05	-0.96	1.69E-05	0.44
1.70E-05	-0.96	1.70E-05	0.44
1.71E-05	-0.96	1.71E-05	0.42
1.72E-05	-1	1.72E-05	0.44
1.73E-05	-0.92	1.73E-05	0.44
1.74E-05	-0.96	1.74E-05	0.44
1.75E-05	-0.96	1.75E-05	0.42
1.76E-05	-0.96	1.76E-05	0.4
1.77E-05	-0.92	1.77E-05	0.4
1.78E-05	-0.96	1.78E-05	0.38
1.79E-05	-0.96	1.79E-05	0.4
1.80E-05	-0.96	1.80E-05	0.38
1.81E-05	-1	1.81E-05	0.38
1.82E-05	-0.96	1.82E-05	0.4
1.83E-05	-0.96	1.83E-05	0.38
1.84E-05	-0.96	1.84E-05	0.36
1.85E-05	-0.96	1.85E-05	0.34
1.86E-05	-0.92	1.86E-05	0.36
1.87E-05	-0.96	1.87E-05	0.32
1.88E-05	-0.96	1.88E-05	0.32
1.89E-05	-0.96	1.89E-05	0.3
1.90E-05	-0.96	1.90E-05	0.32
1.91E-05	-0.96	1.91E-05	0.3
1.92E-05	-0.96	1.92E-05	0.3
1.93E-05	-0.96	1.93E-05	0.3
1.94E-05	-1	1.94E-05	0.3
1.95E-05	-0.96	1.95E-05	0.3
1.96E-05	-0.96	1.96E-05	0.28
1.97E-05	-0.96	1.97E-05	0.28
1.98E-05	-0.96	1.98E-05	0.26
1.99E-05	-1	1.99E-05	0.28
2.00E-05	-0.96	2.00E-05	0.24
2.01E-05	-0.92	2.01E-05	0.24
2.02E-05	-1	2.02E-05	0.24
2.03E-05	-0.92	2.03E-05	0.24
2.04E-05	-0.96	2.04E-05	0.22
2.05E-05	-0.96	2.05E-05	0.22
2.06E-05	-0.96	2.06E-05	0.22
2.07E-05	-1	2.07E-05	0.24
2.08E-05	-0.96	2.08E-05	0.18
2.09E-05	-0.92	2.09E-05	0.2
2.10E-05	-1.04	2.10E-05	0.2
2.11E-05	-0.96	2.11E-05	0.2
2.12E-05	-0.92	2.12E-05	0.18
2.13E-05	-0.96	2.13E-05	0.18
2.14E-05	-0.96	2.14E-05	0.16
2.15E-05	-0.96	2.15E-05	0.18
2.16E-05	-0.96	2.16E-05	0.16
2.17E-05	-1	2.17E-05	0.16
2.18E-05	-0.96	2.18E-05	0.14
2.19E-05	-0.96	2.19E-05	0.16
2.20E-05	-1	2.20E-05	0.14
2.21E-05	-1	2.21E-05	0.14
2.22E-05	-1	2.22E-05	0.14
2.23E-05	-0.92	2.23E-05	0.12
2.24E-05	-0.92	2.24E-05	0.1
2.25E-05	-0.96	2.25E-05	0.14
2.26E-05	-0.96	2.26E-05	0.12
2.27E-05	-0.96	2.27E-05	0.08
2.28E-05	-1	2.28E-05	0.1
2.29E-05	-0.96	2.29E-05	0.08
2.30E-05	-0.96	2.30E-05	0.1
2.31E-05	-0.96	2.31E-05	0.08
2.32E-05	-1	2.32E-05	0.08
2.33E-05	-0.96	2.33E-05	0.06
2.34E-05	-0.96	2.34E-05	0.06
2.35E-05	-0.96	2.35E-05	0.06
2.36E-05	-0.96	2.36E-05	0.06
2.37E-05	-0.96	2.37E-05	0.06
2.38E-05	-0.96	2.38E-05	0.02
2.39E-05	-0.96	2.39E-05	0.04
2.40E-05	-0.96	2.40E-05	0.04
2.41E-05	-1	2.41E-05	0.04
2.42E-05	-0.96	2.42E-05	0.02
2.43E-05	-1	2.43E-05	0.02
2.44E-05	-0.96	2.44E-05	0.06
2.45E-05	-0.96	2.45E-05	0.02
2.46E-05	-0.96	2.46E-05	0.02
2.47E-05	-1	2.47E-05	0
2.48E-05	-0.92	2.48E-05	0
2.49E-05	-1	2.49E-05	0
2.50E-05	-0.96	2.50E-05	0
2.51E-05	-0.96	2.51E-05	0.02
2.52E-05	-0.96	2.52E-05	0
2.53E-05	-0.96	2.53E-05	0
2.54E-05	-0.96	2.54E-05	-0.04
2.55E-05	-1	2.55E-05	-0.04
2.56E-05	-0.96	2.56E-05	-0.02
2.57E-05	-1	2.57E-05	-0.04
2.58E-05	-0.92	2.58E-05	-0.02
2.59E-05	-1	2.59E-05	-0.06
2.60E-05	-1	2.60E-05	-0.04
2.61E-05	-1	2.61E-05	-0.04
2.62E-05	-0.96	2.62E-05	-0.06
2.63E-05	-1	2.63E-05	-0.08
2.64E-05	-1	2.64E-05	-0.08
2.65E-05	-0.96	2.65E-05	-0.08
2.66E-05	-0.96	2.66E-05	-0.08
2.67E-05	-1	2.67E-05	-0.1
2.68E-05	-0.96	2.68E-05	-0.1
2.69E-05	-1	2.69E-05	-0.1
2.70E-05	-1	2.70E-05	-0.08
2.71E-05	-1	2.71E-05	-0.12
2.72E-05	-0.96	2.72E-05	-0.08
2.73E-05	-0.96	2.73E-05	-0.12
2.74E-05	-0.96	2.74E-05	-0.12
2.75E-05	-0.92	2.75E-05	-0.12
2.76E-05	-0.92	2.76E-05	-0.12
2.77E-05	-0.96	2.77E-05	-0.14
2.78E-05	-0.96	2.78E-05	-0.12
2.79E-05	-0.96	2.79E-05	-0.12
2.80E-05	-1	2.80E-05	-0.16
2.81E-05	-0.96	2.81E-05	-0.12
2.82E-05	-0.96	2.82E-05	-0.14
2.83E-05	-0.96	2.83E-05	-0.14
2.84E-05	-0.92	2.84E-05	-0.16
2.85E-05	-0.96	2.85E-05	-0.16
2.86E-05	-1	2.86E-05	-0.14
2.87E-05	-0.96	2.87E-05	-0.16
2.88E-05	-1	2.88E-05	-0.18
2.89E-05	-0.92	2.89E-05	-0.18
2.90E-05	-1	2.90E-05	-0.18
2.91E-05	-0.96	2.91E-05	-0.18
2.92E-05	-0.92	2.92E-05	-0.18
2.93E-05	-0.96	2.93E-05	-0.18
2.94E-05	-1	2.94E-05	-0.18
2.95E-05	-0.96	2.95E-05	-0.18
2.96E-05	-0.96	2.96E-05	-0.2
2.97E-05	-0.96	2.97E-05	-0.2
2.98E-05	-0.96	2.98E-05	-0.22
2.99E-05	-0.96	2.99E-05	-0.22
3.00E-05	-1	3.00E-05	-0.22
3.01E-05	-1	3.01E-05	-0.22
3.02E-05	-0.96	3.02E-05	-0.24
3.03E-05	-1	3.03E-05	-0.24
3.04E-05	-0.96	3.04E-05	-0.26
3.05E-05	-0.96	3.05E-05	-0.22
3.06E-05	-0.96	3.06E-05	-0.24
3.07E-05	-0.96	3.07E-05	-0.24
3.08E-05	-0.96	3.08E-05	-0.24
3.09E-05	-0.96	3.09E-05	-0.24
3.10E-05	-0.96	3.10E-05	-0.24
3.11E-05	-0.96	3.11E-05	-0.26
3.12E-05	-1	3.12E-05	-0.26
3.13E-05	-1	3.13E-05	-0.24
3.14E-05	-0.96	3.14E-05	-0.26
3.15E-05	-0.92	3.15E-05	-0.26
3.16E-05	-1	3.16E-05	-0.26
3.17E-05	-0.96	3.17E-05	-0.26
3.18E-05	-0.96	3.18E-05	-0.26
3.19E-05	-1	3.19E-05	-0.3
3.20E-05	-1	3.20E-05	-0.28
3.21E-05	-1	3.21E-05	-0.28
3.22E-05	-1	3.22E-05	-0.32
3.23E-05	-0.96	3.23E-05	-0.28
3.24E-05	-1	3.24E-05	-0.28
3.25E-05	-0.96	3.25E-05	-0.3
3.26E-05	-0.96	3.26E-05	-0.32
3.27E-05	-0.96	3.27E-05	-0.32
3.28E-05	-0.96	3.28E-05	-0.3
3.29E-05	-0.96	3.29E-05	-0.32
3.30E-05	-0.96	3.30E-05	-0.32
3.31E-05	-0.96	3.31E-05	-0.3
3.32E-05	-1	3.32E-05	-0.34
