t_in,v_in,t_out,v_out
0,-0.12,0,-0.44
2.00E-06,-0.12,2.00E-06,-0.44
4.00E-06,-0.12,4.00E-06,-0.48
6.00E-06,-0.12,6.00E-06,-0.44
8.00E-06,-0.12,8.00E-06,-0.48
1.00E-05,-0.14,1.00E-05,-0.52
1.20E-05,-0.14,1.20E-05,-0.48
1.40E-05,-0.14,1.40E-05,-0.52
1.60E-05,-0.14,1.60E-05,-0.52
1.80E-05,-0.14,1.80E-05,-0.56
2.00E-05,-0.14,2.00E-05,-0.56
2.20E-05,-0.18,2.20E-05,-0.56
2.40E-05,-0.16,2.40E-05,-0.56
2.60E-05,-0.16,2.60E-05,-0.56
2.80E-05,-0.18,2.80E-05,-0.6
3.00E-05,-0.18,3.00E-05,-0.6
3.20E-05,-0.18,3.20E-05,-0.6
3.40E-05,-0.18,3.40E-05,-0.6
3.60E-05,-0.2,3.60E-05,-0.6
3.80E-05,-0.18,3.80E-05,-0.64
4.00E-05,-0.18,4.00E-05,-0.64
4.20E-05,-0.2,4.20E-05,-0.64
4.40E-05,-0.2,4.40E-05,-0.64
4.60E-05,-0.2,4.60E-05,-0.64
4.80E-05,-0.2,4.80E-05,-0.68
5.00E-05,-0.22,5.00E-05,-0.68
5.20E-05,-0.22,5.20E-05,-0.68
5.40E-05,-0.2,5.40E-05,-0.68
5.60E-05,-0.22,5.60E-05,-0.68
5.80E-05,-0.24,5.80E-05,-0.68
6.00E-05,-0.22,6.00E-05,-0.72
6.20E-05,-0.22,6.20E-05,-0.68
6.40E-05,-0.22,6.40E-05,-0.72
6.60E-05,-0.22,6.60E-05,-0.72
6.80E-05,-0.22,6.80E-05,-0.72
7.00E-05,-0.24,7.00E-05,-0.76
7.20E-05,-0.24,7.20E-05,-0.76
7.40E-05,-0.24,7.40E-05,-0.76
7.60E-05,-0.24,7.60E-05,-0.76
7.80E-05,-0.24,7.80E-05,-0.76
8.00E-05,-0.24,8.00E-05,-0.76
8.20E-05,-0.24,8.20E-05,-0.76
8.40E-05,-0.26,8.40E-05,-0.8
8.60E-05,-0.26,8.60E-05,-0.76
8.80E-05,-0.24,8.80E-05,-0.8
9.00E-05,-0.24,9.00E-05,-0.84
9.20E-05,-0.24,9.20E-05,-0.8
9.40E-05,-0.24,9.40E-05,-0.84
9.60E-05,-0.26,9.60E-05,-0.84
9.80E-05,-0.26,9.80E-05,-0.8
0.0001,-0.26,0.0001,-0.84
0.000102,-0.26,0.000102,-0.84
0.000104,-0.26,0.000104,-0.84
0.000106,-0.26,0.000106,-0.84
0.000108,-0.26,0.000108,-0.84
0.00011,-0.28,0.00011,-0.88
0.000112,-0.26,0.000112,-0.84
0.000114,-0.28,0.000114,-0.84
0.000116,-0.28,0.000116,-0.88
0.000118,-0.28,0.000118,-0.88
0.00012,-0.28,0.00012,-0.88
0.000122,-0.28,0.000122,-0.88
0.000124,-0.28,0.000124,-0.88
0.000126,-0.28,0.000126,-0.88
0.000128,-0.28,0.000128,-0.88
0.00013,-0.28,0.00013,-0.88
0.000132,-0.28,0.000132,-0.88
0.000134,-0.28,0.000134,-0.88
0.000136,-0.28,0.000136,-0.88
0.000138,-0.3,0.000138,-0.88
0.00014,-0.3,0.00014,-0.88
0.000142,-0.3,0.000142,-0.88
0.000144,-0.28,0.000144,-0.88
0.000146,-0.28,0.000146,-0.92
0.000148,-0.28,0.000148,-0.88
0.00015,-0.28,0.00015,-0.88
0.000152,-0.3,0.000152,-0.88
0.000154,-0.28,0.000154,-0.92
0.000156,-0.28,0.000156,-0.92
0.000158,-0.28,0.000158,-0.92
0.00016,-0.32,0.00016,-0.92
0.000162,-0.28,0.000162,-0.92
0.000164,-0.28,0.000164,-0.92
0.000166,-0.32,0.000166,-0.92
0.000168,-0.28,0.000168,-0.92
0.00017,-0.28,0.00017,-0.92
0.000172,-0.28,0.000172,-0.92
0.000174,-0.3,0.000174,-0.92
0.000176,-0.3,0.000176,-0.92
0.000178,-0.3,0.000178,-0.88
0.00018,-0.3,0.00018,-0.92
0.000182,-0.3,0.000182,-0.92
0.000184,-0.32,0.000184,-0.92
0.000186,-0.28,0.000186,-0.92
0.000188,-0.3,0.000188,-0.92
0.00019,-0.28,0.00019,-0.92
0.000192,-0.3,0.000192,-0.92
