Time - Plot 0,Amplitude - Plot 0,Time - Plot 1,Amplitude - Plot 1
0,-0.002,0,0.008
4.00E-08,-0.004,4.00E-08,0
8.00E-08,-0.004,8.00E-08,0
1.20E-07,-0.004,1.20E-07,-0.008
1.60E-07,-0.008,1.60E-07,0
2.00E-07,-0.008,2.00E-07,-0.004
2.40E-07,-0.008,2.40E-07,-0.012
2.80E-07,-0.008,2.80E-07,-0.012
3.20E-07,-0.008,3.20E-07,-0.016
3.60E-07,-0.012,3.60E-07,-0.016
4.00E-07,-0.01,4.00E-07,-0.016
4.40E-07,-0.012,4.40E-07,-0.024
4.80E-07,-0.012,4.80E-07,-0.02
5.20E-07,-0.014,5.20E-07,-0.02
5.60E-07,-0.012,5.60E-07,-0.032
6.00E-07,-0.012,6.00E-07,-0.032
6.40E-07,-0.012,6.40E-07,-0.032
6.80E-07,-0.014,6.80E-07,-0.036
7.20E-07,-0.016,7.20E-07,-0.036
7.60E-07,-0.014,7.60E-07,-0.036
8.00E-07,-0.018,8.00E-07,-0.044
8.40E-07,-0.016,8.40E-07,-0.044
8.80E-07,-0.02,8.80E-07,-0.048
9.20E-07,-0.018,9.20E-07,-0.048
9.60E-07,-0.02,9.60E-07,-0.052
1.00E-06,-0.02,1.00E-06,-0.056
1.04E-06,-0.022,1.04E-06,-0.052
1.08E-06,-0.026,1.08E-06,-0.052
1.12E-06,-0.026,1.12E-06,-0.056
1.16E-06,-0.024,1.16E-06,-0.06
1.20E-06,-0.026,1.20E-06,-0.06
1.24E-06,-0.026,1.24E-06,-0.068
1.28E-06,-0.026,1.28E-06,-0.068
1.32E-06,-0.026,1.32E-06,-0.072
1.36E-06,-0.03,1.36E-06,-0.068
1.40E-06,-0.032,1.40E-06,-0.072
1.44E-06,-0.03,1.44E-06,-0.076
1.48E-06,-0.032,1.48E-06,-0.08
1.52E-06,-0.032,1.52E-06,-0.08
1.56E-06,-0.032,1.56E-06,-0.084
1.60E-06,-0.03,1.60E-06,-0.092
1.64E-06,-0.034,1.64E-06,-0.084
1.68E-06,-0.034,1.68E-06,-0.092
1.72E-06,-0.036,1.72E-06,-0.092
1.76E-06,-0.038,1.76E-06,-0.096
1.80E-06,-0.036,1.80E-06,-0.1
1.84E-06,-0.036,1.84E-06,-0.096
1.88E-06,-0.04,1.88E-06,-0.104
1.92E-06,-0.038,1.92E-06,-0.104
1.96E-06,-0.04,1.96E-06,-0.108
2.00E-06,-0.04,2.00E-06,-0.108
2.04E-06,-0.04,2.04E-06,-0.112
2.08E-06,-0.04,2.08E-06,-0.112
2.12E-06,-0.042,2.12E-06,-0.116
2.16E-06,-0.042,2.16E-06,-0.116
2.20E-06,-0.044,2.20E-06,-0.12
2.24E-06,-0.044,2.24E-06,-0.12
2.28E-06,-0.044,2.28E-06,-0.12
2.32E-06,-0.046,2.32E-06,-0.124
2.36E-06,-0.048,2.36E-06,-0.132
2.40E-06,-0.048,2.40E-06,-0.128
2.44E-06,-0.048,2.44E-06,-0.132
2.48E-06,-0.048,2.48E-06,-0.132
2.52E-06,-0.05,2.52E-06,-0.136
2.56E-06,-0.048,2.56E-06,-0.14
