Time - Plot 0,Amplitude - Plot 0,Time - Plot 1,Amplitude - Plot 1
0,1.36,0,0.03
1.00E-06,1.36,1.00E-06,0.028
2.00E-06,1.36,2.00E-06,0.028
3.00E-06,1.36,3.00E-06,0.028
4.00E-06,1.36,4.00E-06,0.022
5.00E-06,1.36,5.00E-06,0.004
6.00E-06,1.36,6.00E-06,-0.016
7.00E-06,1.36,7.00E-06,-0.036
8.00E-06,1.36,8.00E-06,-0.038
9.00E-06,1.36,9.00E-06,-0.038
1.00E-05,1.36,1.00E-05,-0.036
1.10E-05,1.24,1.10E-05,-0.05
1.20E-05,0.8,1.20E-05,-0.074
1.30E-05,0.36,1.30E-05,-0.084
1.40E-05,-0.12,1.40E-05,-0.084
1.50E-05,-0.2,1.50E-05,-0.086
1.60E-05,-0.2,1.60E-05,-0.082
1.70E-05,-0.2,1.70E-05,-0.082
1.80E-05,-0.48,1.80E-05,-0.082
1.90E-05,-1,1.90E-05,-0.082
2.00E-05,-1.24,2.00E-05,-0.082
2.10E-05,-1.2,2.10E-05,-0.08
2.20E-05,-1.2,2.20E-05,-0.08
2.30E-05,-1.2,2.30E-05,-0.078
2.40E-05,-1.24,2.40E-05,-0.08
2.50E-05,-1.24,2.50E-05,-0.08
2.60E-05,-1.24,2.60E-05,-0.08
2.70E-05,-1.24,2.70E-05,-0.078
2.80E-05,-1.24,2.80E-05,-0.078
2.90E-05,-1.24,2.90E-05,-0.078
3.00E-05,-1.24,3.00E-05,-0.078
3.10E-05,-1.24,3.10E-05,-0.076
3.20E-05,-1.24,3.20E-05,-0.076
3.30E-05,-1.24,3.30E-05,-0.074
3.40E-05,-1.24,3.40E-05,-0.076
3.50E-05,-1.24,3.50E-05,-0.076
3.60E-05,-1.24,3.60E-05,-0.076
3.70E-05,-1.24,3.70E-05,-0.074
3.80E-05,-1.24,3.80E-05,-0.074
3.90E-05,-1.24,3.90E-05,-0.074
4.00E-05,-1.24,4.00E-05,-0.074
4.10E-05,-1.24,4.10E-05,-0.074
4.20E-05,-1.24,4.20E-05,-0.072
4.30E-05,-1.24,4.30E-05,-0.074
4.40E-05,-1.24,4.40E-05,-0.074
4.50E-05,-1.24,4.50E-05,-0.074
4.60E-05,-1.24,4.60E-05,-0.074
4.70E-05,-1.24,4.70E-05,-0.072
4.80E-05,-1.24,4.80E-05,-0.072
4.90E-05,-1.2,4.90E-05,-0.072
5.00E-05,-1.24,5.00E-05,-0.072
5.10E-05,-1.24,5.10E-05,-0.07
5.20E-05,-1.24,5.20E-05,-0.07
