Time - Plot 0,Amplitude - Plot 0,Time - Plot 1,Amplitude - Plot 1
0,0.96,0,0.016
4.00E-05,1.04,4.00E-05,0.02
8.00E-05,1.04,8.00E-05,0.016
0.00012,0.96,0.00012,0.016
0.00016,1.04,0.00016,0.016
0.0002,1.04,0.0002,0.016
0.00024,1.04,0.00024,0.016
0.00028,1.04,0.00028,0.016
0.00032,1.04,0.00032,0.016
0.00036,1.04,0.00036,0.016
0.0004,1.04,0.0004,0.016
0.00044,1.04,0.00044,0.016
0.00048,1.04,0.00048,0.016
0.00052,1.04,0.00052,0.02
0.00056,1.04,0.00056,0.016
0.0006,1.04,0.0006,0.016
0.00064,1.04,0.00064,0.016
0.00068,0.96,0.00068,0.016
0.00072,1.04,0.00072,0.016
0.00076,0.96,0.00076,0.016
0.0008,1.04,0.0008,0.016
0.00084,1.04,0.00084,0.012
0.00088,0.96,0.00088,0.02
0.00092,1.04,0.00092,0.012
0.00096,1.04,0.00096,0.016
0.001,0.96,0.001,0.016
0.00104,0.96,0.00104,0.016
0.00108,0.96,0.00108,0.016
0.00112,0.96,0.00112,0.012
0.00116,0.96,0.00116,0.016
0.0012,0.96,0.0012,0.016
0.00124,0.96,0.00124,0.016
0.00128,0.96,0.00128,0.016
0.00132,0.96,0.00132,0.016
0.00136,0.96,0.00136,0.016
0.0014,0.96,0.0014,0.016
0.00144,0.96,0.00144,0.012
0.00148,0.96,0.00148,0.016
0.00152,0.96,0.00152,0.016
0.00156,0.96,0.00156,0.012
0.0016,0.96,0.0016,0.016
0.00164,0.96,0.00164,0.012
0.00168,0.96,0.00168,0.016
0.00172,0.96,0.00172,0.012
0.00176,0.96,0.00176,0.016
0.0018,0.96,0.0018,0.012
0.00184,0.96,0.00184,0.016
0.00188,0.96,0.00188,0.012
0.00192,0.96,0.00192,0.012
0.00196,0.88,0.00196,0.012
0.002,0.96,0.002,0.016
0.00204,0.96,0.00204,0.012
0.00208,0.96,0.00208,0.012
0.00212,0.96,0.00212,0.012
0.00216,0.96,0.00216,0.012
0.0022,0.96,0.0022,0.012
0.00224,0.96,0.00224,0.012
0.00228,0.96,0.00228,0.012
0.00232,0.96,0.00232,0.012
0.00236,0.96,0.00236,0.016
0.0024,0.96,0.0024,0.012
0.00244,0.88,0.00244,0.016
0.00248,0.96,0.00248,0.012
0.00252,0.88,0.00252,0.016
0.00256,0.88,0.00256,0.012
0.0026,0.96,0.0026,0.012
0.00264,0.96,0.00264,0.012
0.00268,0.96,0.00268,0.012
0.00272,0.96,0.00272,0.012
0.00276,0.88,0.00276,0.012
0.0028,0.96,0.0028,0.012
0.00284,0.96,0.00284,0.012
0.00288,0.96,0.00288,0.012
0.00292,0.88,0.00292,0.008
0.00296,0.88,0.00296,0.012
0.003,0.88,0.003,0.008
0.00304,0.88,0.00304,0.012
0.00308,0.96,0.00308,0.012
0.00312,0.88,0.00312,0.012
0.00316,0.96,0.00316,0.012
0.0032,0.88,0.0032,0.012
0.00324,0.88,0.00324,0.012
0.00328,0.88,0.00328,0.012
0.00332,0.88,0.00332,0.012
0.00336,0.88,0.00336,0.012
0.0034,0.88,0.0034,0.012
0.00344,0.96,0.00344,0.008
0.00348,0.88,0.00348,0.012
0.00352,0.88,0.00352,0.012
0.00356,0.88,0.00356,0.012
0.0036,0.88,0.0036,0.008
0.00364,0.88,0.00364,0.012
0.00368,0.88,0.00368,0.012
0.00372,0.88,0.00372,0.008
0.00376,0.88,0.00376,0.012
0.0038,0.88,0.0038,0.012
