f,dT,v_in,v_out,,,,,,,,,
2000,124,2.12,28,,,,,,,,,
4000,60,2.12,68,,,,,,,,,
5000,48,2.12,98,,,,,,,,,
6000,38,2.1,152,,,,,,,,,
7000,30,2.04,284,,,,,,,,,
7500,23,1.9,448,,,,,,,,,
7800,17,1.68,576,,,,,,,,,
8000,12,1.6,660,,,,,,,,,
8100,6,1.5,680,,,,,,,,,
8200,0,1.4,696,,,,,,,,,
8300,-3,1.5,688,,,,,,,,,
8500,-10,1.6,616,,,,,,,,,
8700,-15,1.8,544,,,,,,,,,
9000,-18,1.9,440,,,,,,,,,
9500,-20,2,320,,,,,,,,,
10000,-21,2.1,256,,,,,,,,,
11000,-21,2.1,172,,,,,,,,,
13000,-19,2.1,116,,,,,,,,,
